feature,finite_frac,missing_frac,std,min,q05,median,q95,max,constant
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__MAX,1.0,0.0,0.3202711076094823,2.0047519207000732,2.2736113905906676,2.60694420337677,3.3652925491333003,3.851731777191162,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__MEAN,1.0,0.0,0.032401888053834337,-0.46258370071657545,-0.39472126982174727,-0.3443697713042121,-0.28869236392705094,-0.259805319928481,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__SUM,1.0,0.0,7.944448209187573,-107.78200226696208,-92.75733122997917,-79.50785191799514,-66.20886038513855,-58.19639166397974,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__Q90,1.0,0.0,0.07385634249902653,0.16552194356918348,0.21373435139656063,0.295997753739357,0.4476813448965561,0.6323829054832456,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__Q95,1.0,0.0,0.18791552819001944,0.3382768616080281,0.5684350377321234,0.8815672695636748,1.1902801471948605,1.5129501581192002,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__TOP3_MEAN,1.0,0.0,0.22609657874921738,1.791070540746053,2.054447615146637,2.3406758308410645,2.7764064113299045,3.1405514081319175,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_FV__TOP5_MEAN,1.0,0.0,0.21534792720716478,1.4885203123092652,1.8011316561698913,2.1367569208145145,2.5139967179298393,2.9426831245422362,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__MAX,1.0,0.0,0.31051302543996556,1.88486647605896,2.2229353308677675,2.549163579940796,3.3026736140251147,3.8485941886901855,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__MEAN,1.0,0.0,0.053002682792992445,-0.5102033440565039,-0.42475914166453804,-0.33958522018755255,-0.2544679863414152,-0.19110816631776592,False
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__SUM,1.0,0.0,6.9180574989610415,-65.7430870141834,-52.34478947944008,-41.51704900083132,-30.425892145326365,-22.35965545917861,False
