antibody_id,cluster_id,role,split
ADI-38502,0,Dev,shadow_5
ADI-38501,1,Dev,shadow_5
ADI-47173,2,Dev,shadow_5
ADI-47054,3,Dev,shadow_5
ADI-47278,4,Private,shadow_5
ADI-47055,5,Private,shadow_5
ADI-47174,6,Dev,shadow_5
ADI-47056,30,Dev,shadow_5
ADI-47279,35,Dev,shadow_5
ADI-47057,7,Private,shadow_5
ADI-47280,8,Private,shadow_5
ADI-47058,9,Private,shadow_5
ADI-47281,10,Private,shadow_5
ADI-47175,11,Dev,shadow_5
ADI-47282,12,Public,shadow_5
ADI-47283,13,Private,shadow_5
ADI-47059,4,Private,shadow_5
ADI-47060,14,Dev,shadow_5
ADI-47178,15,Dev,shadow_5
ADI-47177,16,Dev,shadow_5
ADI-47284,17,Private,shadow_5
ADI-47179,18,Public,shadow_5
ADI-47180,19,Dev,shadow_5
ADI-45439,20,Private,shadow_5
ADI-45368,18,Public,shadow_5
ADI-47062,21,Dev,shadow_5
ADI-47182,22,Dev,shadow_5
ADI-47063,0,Dev,shadow_5
ADI-47183,23,Private,shadow_5
ADI-47064,24,Private,shadow_5
ADI-47066,25,Dev,shadow_5
ADI-45379,26,Private,shadow_5
ADI-47067,35,Dev,shadow_5
ADI-47068,27,Public,shadow_5
ADI-47069,28,Dev,shadow_5
ADI-47070,29,Private,shadow_5
ADI-45442,46,Dev,shadow_5
ADI-47184,30,Dev,shadow_5
ADI-47073,31,Dev,shadow_5
ADI-46682,32,Dev,shadow_5
ADI-47074,33,Dev,shadow_5
ADI-47186,34,Dev,shadow_5
ADI-45370,35,Dev,shadow_5
ADI-47077,36,Private,shadow_5
ADI-47079,37,Dev,shadow_5
ADI-47289,38,Dev,shadow_5
ADI-47191,39,Public,shadow_5
ADI-47192,40,Dev,shadow_5
ADI-47290,35,Dev,shadow_5
ADI-47195,41,Dev,shadow_5
ADI-47196,42,Dev,shadow_5
ADI-47083,43,Public,shadow_5
ADI-47198,44,Dev,shadow_5
ADI-47199,45,Dev,shadow_5
ADI-47201,35,Dev,shadow_5
ADI-45447,46,Dev,shadow_5
ADI-47293,46,Dev,shadow_5
ADI-45378,46,Dev,shadow_5
