id,sequence,label,psr_score,b_cell_subset,source
ADI-38502,KAF,0,0.0,IgG memory,shehata2019
ADI-38501,DAS,0,0.0231841139479249,IgG memory,shehata2019
ADI-47173,LVS,0,0.0,IgG memory,shehata2019
ADI-47054,KDN,0,0.0117156581821495,IgG memory,shehata2019
ADI-47278,GAA,0,0.0103356402653016,IgG memory,shehata2019
ADI-47055,DAS,0,0.0,IgG memory,shehata2019
ADI-47174,KVS,0,0.0263816061762892,IgG memory,shehata2019
ADI-47056,EAS,0,0.0006642545566999,IgG memory,shehata2019
ADI-47279,EVS,0,0.0342286654571706,IgG memory,shehata2019
ADI-47057,KAS,0,0.0,IgG memory,shehata2019
ADI-47280,DTS,0,0.0348138986686349,IgG memory,shehata2019
ADI-47058,DDS,0,0.0218881186237432,IgG memory,shehata2019
ADI-47281,DNN,0,0.0,IgG memory,shehata2019
ADI-47175,DAS,0,0.1003076407864323,IgG memory,shehata2019
ADI-47282,DAS,0,0.1001224302148392,IgG memory,shehata2019
ADI-47283,WAS,0,0.144470950539729,IgG memory,shehata2019
ADI-47059,GES,0,0.0,IgG memory,shehata2019
ADI-47060,GTS,0,0.0,IgG memory,shehata2019
ADI-47178,DTS,0,0.0043073821494937,IgG memory,shehata2019
ADI-47177,DAS,0,0.0302401863487334,IgG memory,shehata2019
ADI-47284,VNN,0,0.0295196735659641,IgG memory,shehata2019
ADI-47179,KAS,0,0.0,IgG memory,shehata2019
ADI-47180,GAS,0,0.0,IgG memory,shehata2019
ADI-45439,AAS,0,0.0,IgG memory,shehata2019
ADI-45368,KAS,0,0.0,IgG memory,shehata2019
ADI-47062,KAS,0,0.0019407208850828,IgG memory,shehata2019
ADI-47182,GAS,0,0.0016032464910086,IgG memory,shehata2019
ADI-47063,EAS,0,0.0,IgG memory,shehata2019
ADI-47183,AAS,0,0.1302075035340023,IgG memory,shehata2019
ADI-47064,DTD,0,0.0,IgG memory,shehata2019
ADI-47066,WAS,0,0.0,IgG memory,shehata2019
ADI-45379,GAS,0,0.0,IgG memory,shehata2019
ADI-47067,EVT,0,0.002319562887265,IgG memory,shehata2019
ADI-47068,WAF,0,0.0082596763452732,IgG memory,shehata2019
ADI-47069,EAT,0,0.0,IgG memory,shehata2019
ADI-47070,RDN,0,0.0062287379660164,IgG memory,shehata2019
ADI-45442,GAS,0,0.0,IgG memory,shehata2019
ADI-47184,GAS,0,0.0,IgG memory,shehata2019
ADI-47073,DVS,0,0.013344154053383,IgG memory,shehata2019
ADI-46682,DAS,0,0.0,IgG memory,shehata2019
ADI-47074,AAS,0,0.0,IgG memory,shehata2019
ADI-47186,LNSDGTY,0,0.0399617830009311,IgG memory,shehata2019
ADI-45370,DNN,0,0.0,IgG memory,shehata2019
ADI-47077,EDD,0,0.008179157681853,IgG memory,shehata2019
ADI-47079,EAF,0,0.0,IgG memory,shehata2019
ADI-47289,DVS,0,0.0,IgG memory,shehata2019
ADI-47191,LGS,0,0.0307642449859308,IgG memory,shehata2019
ADI-47192,KNH,0,0.0,IgG memory,shehata2019
ADI-47290,DNN,0,0.0101876351946198,IgG memory,shehata2019
ADI-47195,DVT,0,0.007915341388598,IgG memory,shehata2019
ADI-47196,GNN,0,0.0338924282536627,IgG memory,shehata2019
ADI-47083,FDD,0,0.0441950009877949,IgG memory,shehata2019
ADI-47198,MAS,0,0.0095437392759703,IgG memory,shehata2019
ADI-47199,SSW,0,0.1110189333906758,IgG memory,shehata2019
ADI-47201,DNN,0,0.0,IgG memory,shehata2019
ADI-45447,GTS,0,0.0,IgG memory,shehata2019
ADI-47293,GAS,0,0.0,IgG memory,shehata2019
ADI-45378,WAS,0,0.0,IgG memory,shehata2019
ADI-47204,DNS,0,0.0051292016419047,IgG memory,shehata2019
ADI-47093,DAS,0,0.0,IgG memory,shehata2019
ADI-47297,KAS,0,0.1063432607827502,IgG memory,shehata2019
ADI-45440,VNGDGSH,0,0.0,IgG memory,shehata2019
ADI-47209,WAS,0,0.0,IgG memory,shehata2019
ADI-46678,GAS,0,0.0,IgG memory,shehata2019
ADI-47099,DAS,0,0.0,IgG memory,shehata2019
ADI-47300,KAS,0,0.2370310817762104,IgG memory,shehata2019
ADI-47100,LGS,0,0.0,IgG memory,shehata2019
ADI-47215,TAS,0,0.0,IgG memory,shehata2019
ADI-47216,AAS,0,0.0,IgG memory,shehata2019
ADI-47217,DVT,0,0.0386846083376565,IgG memory,shehata2019
ADI-46710,AAS,0,0.0033726981342819,IgG memory,shehata2019
ADI-47301,DVS,0,0.2762569881452822,IgG memory,shehata2019
ADI-47187,AAS,0,0.0,IgG memory,shehata2019
ADI-47105,DTS,0,0.0,IgG memory,shehata2019
ADI-47106,RDN,0,0.0076929673144306,IgG memory,shehata2019
ADI-45490,EVS,0,0.0719514819775271,IgG memory,shehata2019
ADI-47302,AAS,0,0.0,IgG memory,shehata2019
ADI-47109,KAS,0,0.0,IgG memory,shehata2019
ADI-47304,WAS,0,0.0395587156503965,IgG memory,shehata2019
ADI-47112,DDS,0,0.0,IgG memory,shehata2019
ADI-47113,DAS,0,0.0,IgG memory,shehata2019
ADI-47224,WAS,0,0.0,IgG memory,shehata2019
ADI-47225,QVS,0,0.0248899819539318,IgG memory,shehata2019
ADI-45429,GAS,0,0.1196818101353888,IgG memory,shehata2019
ADI-47119,DND,0,0.0109044332528073,IgG memory,shehata2019
ADI-47308,AAS,0,0.0,IgG memory,shehata2019
ADI-47121,DNS,0,0.0744909910371055,IgG memory,shehata2019
ADI-47122,LGS,0,0.0,IgG memory,shehata2019
ADI-47311,EVT,0,0.1597935011890582,IgG memory,shehata2019
ADI-47123,AAS,0,0.0059690366448408,IgG memory,shehata2019
ADI-47231,GNS,0,0.0076311513887565,IgG memory,shehata2019
ADI-47232,GAS,0,0.0026064441789733,IgG memory,shehata2019
