target,tag,model,slot,cv_spearman,cv_sd,public_spearman,private_spearman
HIC,SEQ_SIMPLE,Ridge_grid,simple_sequence,0.3364654657019086,0.16449876802905847,0.5355985413599862,0.2944564281443587
HIC,IMGT_POS_HL,ElasticNet,imgt_positional,0.44154363846949307,0.10986691630775607,0.22592228746999313,0.13244045979969468
HIC,GERMLINE_REL,ElasticNet,bio_germline,0.4031225653485048,0.055539644843602735,0.20575448592946194,0.47388569705272754
HIC,PLM_ESM1B,ElasticNet,plm_linear,0.5084231458903997,0.16076057726689677,0.48179138887363054,0.33457929254308955
HIC,PLM_ESM1B_PCA64,Ridge,plm_latent,0.5170986454831569,0.2017550997118062,0.48143003968589426,0.26145923991663805
HIC,PLM_ESM2_rank,Ridge_grid,rank_oriented,0.473145855040394,0.14247799936908195,0.4223042788425453,0.27110318199277544
HIC,ESMFN_STRUCTURE,ElasticNet,structure,0.5795807496937042,0.14294560520202093,0.476382443219703,0.5418788764911621
HIC,FUSION_ESM2_IMGT,ElasticNet,fusion,0.516181176091743,0.21128757811012766,0.38121210089966,0.25164590775719614
HIC,RESID_PLM_ESM2__ESMFN_STRUCTURE,Ridge_stack,residual,0.4504526700992264,,0.3129396887417364,0.3697107958204472
HIC,ENSEMBLE_NNLS,nonneg_ridge,ensemble,0.5709781899146693,,0.3129396887417364,0.3697107958204472
HIC,NGRAM_HL_3,Ridge_grid,ngram,0.33625082782429855,0.15159690996053427,0.334259290818177,0.236016849404299
HIC,ENSEMBLE_RANKMEAN,rank_mean,top_fill,0.5503644847297267,,0.3129396887417364,0.3697107958204472
TmApp,SEQ_SIMPLE,ElasticNet,simple_sequence,0.3113697572320793,0.08467548621079837,0.4296424936437043,0.31868017655348546
TmApp,IMGT_POS_HL,Ridge_grid,imgt_positional,0.45591876465615383,0.1383564548295304,0.1174609385579962,0.41874801213437607
TmApp,PLM_ABLANG2,ElasticNet,plm_linear,0.47638464771955435,0.11071818360655745,0.35665617801998695,0.6032095909245372
TmApp,PLM_ABLANG2_PCA64,SVR_RBF,plm_latent,0.4800135810299845,0.09030465906468838,0.3845686955656744,0.5756471458673049
TmApp,SEQ_CDR_gauss,Ridge_grid,rank_oriented,0.3873980887385286,0.09151587144108556,0.4616927112386917,0.3136626588800902
TmApp,ESMFN_STRUCTURE,Ridge_grid,structure,0.35746327864252087,0.09476070188754328,0.4482621438655542,0.2440728529504319
TmApp,FUSION_ESM2_IMGT,Ridge_grid,fusion,0.3619450772997558,0.19886398473507524,0.39167966095094675,0.4667647522115307
TmApp,RESID_BIO_SHORTCUT__PLM_ESM2,Ridge_stack,residual,0.390720807796744,,0.4926011045031346,0.37252808581864
TmApp,ENSEMBLE_NNLS,nonneg_ridge,ensemble,0.4461473104446746,,0.4926011045031346,0.37252808581864
TmApp,NGRAM_HL_3,Ridge_grid,ngram,0.35955950067911246,0.1823418160277989,0.2817027590941434,0.41305245153214354
TmApp,PLM_ABLANG2_PCA32,SVR_RBF,top_fill,0.47685845556025946,0.10447074860312668,0.3845686955656744,0.5756471458673049
