evaluation,script,commit_if_known,uses_make_xy,uses_load_seq_basic,ID_index_explicit,reindex_operation,potentially_affected,reason
AbLingua Sprint A Simple TVT,organizer_extension/feature_prospecting/ablingua600m/scripts/02_simple_tvt_eval.py,c121f7bf,YES,YES,NO (historical),make_xy RangeIndex then index=str(RangeIndex) + reindex(ADI-*),YES,CONFIRMED BUG: SEQ_BASIC entirely NaN; fixed later to seq_b.index=ids
AbLingua Sprint A Simple TVT (fixed),organizer_extension/feature_prospecting/ablingua600m/scripts/02_simple_tvt_eval.py,7374433b,YES,YES,YES,seq_b.index = list(ids); hard-fail if all-NaN,NO,FIXED load_seq_basic; regression test_parent_regression.py
Organizer Simple TVT rescreen,organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/scripts/run_simple_tvt_rescreen.py,,YES,NO,YES,seq_b.index = ids; aro.reindex(ids); emb index=ids,NO,Correct ID assignment after make_xy; same pattern as load_bases()
Organizer Simple TVT CV,organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/scripts/run_simple_tvt_cv.py,,YES,NO,YES,seq_b.index = ids; aro.reindex(ids),NO,Correct ID assignment after make_xy
Stage1 family screen (not Simple TVT),virtual_participant/stage1_features/scripts/run_stage1.py,,YES,NO,positional with y,make_xy RangeIndex; y aligned by row position in same tables,NO,Internal CV uses same-table row order for X and y; not organizer ID reindex path
AbLingua guided pooling TVT,organizer_extension/feature_prospecting/ablingua600m/scripts/04_guided_pooling_tvt.py,27ce3f36,NO,NO,YES,parquet set_index(id); parent from corrected recipe,NO,Used authoritative PARENT (correct SEQ); CDR3 GUIDED_TRY unchanged
BioEmu isolated / Simple TVT via rescreen,organizer_extension/feature_prospecting/bioemu_isolated_reassessment/scripts/eval_reassess.py,,NO,NO,YES,feature CSV id column; common ridge_eval,NO,ID-keyed features; no make_xy reindex bug pattern
ProteinMPNN M1 family eval,organizer_extension/feature_prospecting/structure_marathon/scripts/eval_families.py,,NO,NO,YES,CSV id index alignment,NO,No SEQ_BASIC make_xy path
Gap closure / aromatic / surface,organizer_extension/feature_prospecting/structure_gap_closure/scripts/eval_gap_closure.py,,NO,NO,YES,feature id alignment,NO,Structure features keyed by id; BASE built via rescreen load_bases
OpenMM Fab MD Simple TVT,organizer_extension/feature_prospecting/openmm_fab_md/scripts,,NO,NO,YES,usable cohort id list + feature parquet id,NO,Intersection cohort explicit; BASE from load_bases pattern
FeNNix interim audit,organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/scripts/run_interim_audit.py,,NO,NO,YES,series.reindex(score.index),REVIEW,Uses reindex on score index; not make_xy bug; verify OOF/id alignment if reused
Common ridge_eval helper,organizer_extension/feature_prospecting/common/ridge_eval.py,,NO,NO,YES,oof Series(index=ids); X.loc[ids],NO,Requires caller to pass ID-indexed X; no silent RangeIndex reindex
Canonical Simple TVT (new),organizer_extension/feature_prospecting/score_integrity/canonical_simple_tvt.py,,NO,NO,YES,align_feature_block hard-fail; concat by id,NO,Authoritative evaluator; rejects all-NaN / missing IDs
