id,status,runtime,heavy_length,light_length,global_pLDDT,VH_pLDDT,VL_pLDDT,CH1_pLDDT,CL_pLDDT,severe_clash_count,heavy_light_disulfide_distance,file_path,SHA256,notes
ADI-38502,ok,22.12192727997899,226,214,88.19193181818183,89.32739837398373,90.85121495327104,84.8259223300971,87.46757009345794,0,2.8574506119966454,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-38502.pdb,dc629415163178dac2a54698d2b808ea9ff115cd541e10fa254849cd243a6d51,
ADI-38501,ok,32.49989752564579,222,215,87.54565217391304,90.41630252100838,88.7324074074074,83.89067961165047,86.67355140186918,0,2.698476236693589,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-38501.pdb,a31776e9734c0b233a92ad1b7710427f485ffc629a59cb6fb74c3ce66fa88ec7,
ADI-47173,ok,27.96007699798793,226,218,87.05822072072074,88.18878048780488,88.69558558558558,84.22825242718444,86.78420560747665,0,2.752023800769172,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47173.pdb,3e0c1655d0d1632f1e7a548f6e434375027bb9456c20258b6c3323004c0fcc3d,
ADI-47054,ok,21.725820713676512,223,213,84.9729587155963,87.74316666666667,83.8703738317757,82.56475728155341,85.28990566037734,0,3.1160239087657824,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47054.pdb,7329f144377aeff800df19600234ac1f5010792bfd1db8cc0217538e541e3681,
ADI-47278,ok,21.70494150929153,222,214,88.58697247706422,90.38504201680672,90.86672897196262,85.08320388349516,87.68028037383176,0,2.500958416287645,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47278.pdb,1a439426972cc9778247e4fedc24a48e622fde90a227b5259313de6397a3677e,
ADI-47055,ok,21.86386286932975,224,214,88.38726027397259,89.44826446280993,90.71728971962617,85.11271844660195,88.00953271028037,0,2.778629338360912,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47055.pdb,3867acfeb09115fb7998918011909f973a965c46b7ab4d3ecaae9cbaa4855e15,
ADI-47174,ok,22.34304075036198,223,219,87.54280542986426,89.13683333333334,89.23910714285715,84.44495145631069,86.96158878504674,0,2.549240278985094,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47174.pdb,fa93a19120580596b971e89bcc510b9b07c76d429c975be3a6a172a5ccb23858,
ADI-47056,ok,22.20436691492796,226,215,87.82122448979592,89.92065040650407,90.05814814814813,83.92844660194172,86.89728971962617,0,2.871287341942633,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47056.pdb,103eb57c123bc3b74ba793b13c6dc63127abd29b4d0051a5b90f878b9903a676,
ADI-47279,ok,28.91678029764444,221,216,84.36679633867278,88.2850847457627,82.3757272727273,81.63689320388347,84.72377358490564,0,3.3611267456018394,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47279.pdb,bbd812e06d7efb5f79e715187414691ae27d4ce8fbd5aa0e1291e4565381a73b,
ADI-47057,ok,37.94179077167064,229,214,86.67002257336341,85.87626984126986,90.1970093457944,83.92174757281552,86.72327102803739,0,2.761456137620152,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fab_reconstruction/structures/esmfold_fab/ADI-47057.pdb,d2d934f6d5e2f0207bd233ebc6a1cf35736788078eb06fe005506f25f4ea14e2,
