family_id,version,target,physical_quantity,mechanistic_prior,evidence_grade,standalone_signal,incremental_signal,split_reproducibility,structure_robustness,empirical_verdict,one_line_interpretation,next_priority
ANM-SPECTRUM,v1,TmApp,elastic-network low-frequency mode spectrum / collective flexibility,LIKELY_RELEVANT,MODERATE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Collective flexibility is a primary TmApp mechanistic candidate.,HIGH
ANM-SPECTRUM,v1,HIC,elastic-network low-frequency mode spectrum / collective flexibility,UNLIKELY_PRIMARY,LOW,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Mode spectra are unlikely a primary HIC driver.,LOW
VHL-ANGLE,v1,TmApp,VH-VL domain orientation / packing angles,LIKELY_RELEVANT,MODERATE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,VH-VL orientation is a plausible Fab stability geometry signal.,HIGH
VHL-ANGLE,v1,HIC,VH-VL domain orientation / packing angles,RELATED_BUT_INDIRECT,LOW,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Orientation may reshape surface only indirectly for HIC.,LOW
PKA-SHIFT,v1,TmApp,residue ΔpKa / Q(pH) titration summaries,LIKELY_RELEVANT,MODERATE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,ΔpKa / titration strain is a strong TmApp electrostatic-stability candidate.,HIGH
PKA-SHIFT,v1,HIC,residue ΔpKa / Q(pH) titration summaries,PLAUSIBLY_RELEVANT,MODERATE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Charge/pKa may weakly modulate HIC via surface polarity.,MEDIUM
3DI-FROZEN,v1,TmApp,Foldseek 3Di / ProstT5-SaProt frozen structural tokens,PLAUSIBLY_RELEVANT,LOW,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Frozen 3Di embeddings may carry opaque stability correlates.,HIGH
3DI-FROZEN,v1,HIC,Foldseek 3Di / ProstT5-SaProt frozen structural tokens,PLAUSIBLY_RELEVANT,LOW,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Frozen 3Di embeddings may carry opaque retention correlates.,HIGH
AROMATIC-TOPO,v1,TmApp,Tyr/Trp/Phe-specific surface topology / exposure geometry,RELATED_BUT_INDIRECT,LOW,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Aromatic topology is only an indirect TmApp factor.,LOW
AROMATIC-TOPO,v1,HIC,Tyr/Trp/Phe-specific surface topology / exposure geometry,LIKELY_RELEVANT,HIGH,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,Aromatic surface topology is a primary HIC candidate.,HIGH
STATIC-SAP,v1,TmApp,canonical static spatial aggregation propensity,RELATED_BUT_INDIRECT,MODERATE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SAP relates more to aggregation than melting temperature.,LOW
