family_id,physical_quantity,primary_reference_title,primary_reference_authors,primary_reference_year,primary_reference_doi,primary_reference_url,software_name,software_repository_url,software_documentation_url,secondary_reference_url,reference_type,reference_notes,reference_verified
ANM-SPECTRUM,anisotropic elastic-network low-frequency mode spectrum,"Anisotropy of fluctuation dynamics of proteins with an elastic network model","Atilgan AR; Durell SR; Jernigan RL; Demirel MC; Keskin O; Bahar I",2001,10.1016/S0006-3495(01)76033-X,https://doi.org/10.1016/S0006-3495(01)76033-X,ProDy,https://github.com/prody/ProDy,https://www.bahargroup.org/prody/,https://doi.org/10.1093/bioinformatics/btr168,CANONICAL_METHOD,Software paper Bakan et al. Bioinformatics 2011 DOI 10.1093/bioinformatics/btr168,true
VHL-ANGLE,VH-VL domain orientation / packing angles,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; Fab elbow/VH-VL geometry is a class of descriptors rather than one paper,false
PKA-SHIFT,residue pKa shifts / titration,"PROPKA3: Consistent Treatment of Internal and Surface Residues in Empirical pKa Predictions","Olsson MHM; Søndergaard CR; Rostkowski M; Jensen JH",2011,10.1021/ct100578z,https://doi.org/10.1021/ct100578z,PROPKA3,https://github.com/jensengroup/propka,https://github.com/jensengroup/propka,,CANONICAL_METHOD,Representative empirical pKa software for structure-based shifts,true
3DI-FROZEN,frozen 3Di structural token embeddings,"Foldseek: fast and accurate protein structure search","van Kempen M et al.",2024,10.1038/s41587-023-01773-0,https://doi.org/10.1038/s41587-023-01773-0,Foldseek,https://github.com/steineggerlab/foldseek,https://github.com/steineggerlab/foldseek,,REPRESENTATIVE_METHOD,3Di alphabet originates with Foldseek; frozen embedding protocol is family-specific,true
AROMATIC-TOPO,aromatic surface topology / exposure geometry,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; aromatic patch descriptors span multiple developability papers,false
STATIC-SAP,static spatial aggregation propensity,"Design of therapeutic proteins with enhanced stability","Chennamsetty N; Voynov V; Kayser V; Helk B; Trout BL",2009,10.1073/pnas.0904191106,https://doi.org/10.1073/pnas.0904191106,,,,https://doi.org/10.1021/jp911706q,CANONICAL_METHOD,Static SAP from structure is a cheaper SAP variant discussed by same group (JPCA 2010),true
VOID-EXPLICIT,explicit cavity / void volume,"fpocket: an open source platform for ligand pocket detection","Le Guilloux V; Schmidtke P; Tuffery P",2009,10.1186/1471-2105-10-168,https://doi.org/10.1186/1471-2105-10-168,fpocket,https://github.com/Discngine/fpocket,https://github.com/Discngine/fpocket,,REPRESENTATIVE_METHOD,fpocket is a representative cavity tool; pyKVFinder also candidate,true
POLAR-SAT,buried polar / H-bond satisfaction,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; H-bond satisfaction metrics appear across structural bioinformatics,false
OPENMM-STRAIN,predicted-structure molecular mechanics strain,"OpenMM 7: Rapid development of high performance algorithms for molecular dynamics","Eastman P et al.",2017,10.1371/journal.pcbi.1005659,https://doi.org/10.1371/journal.pcbi.1005659,OpenMM,https://github.com/openmm/openmm,https://openmm.org/,,SOFTWARE,Family measures strain on predicted PDBs; OpenMM is the engine not the biological claim,true
ENCOM-CHEM,chemically sensitive elastic network modes,"Normal mode analysis of nucleic acids and proteins with ENCoM","Frappier V; Najmanovich RJ",2014,10.1093/nar/gku343?redirectedFrom=fulltext,https://doi.org/10.1093/nar/gku343,ENCoM / NRGTEN,https://github.com/gregorpatof/nrgten_public,https://github.com/gregorpatof/nrgten_public,,REPRESENTATIVE_METHOD,URL is NAR DOI for ENCoM; verify software fork at runtime,true
INTERFACE-ENERGY,VH-VL interface contact / energy proxies,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; interface scores span FoldX/Rosetta/statistical potentials,false
HYDRO-FIELD,continuous hydrophobic molecular-surface field,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; hydrophobic potential fields have multiple implementations,false
ELEC-HYDRO-COPATCH,electrostatic x hydrophobic co-patches,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; co-localization of charge and hydrophobicity is a construct,false
GEARNET-FROZEN,frozen geometric GNN embeddings,"GearNet: Towards Unified Geometric Modeling for Protein Representation Learning","Zhang Z et al.",2023,,,https://github.com/DeepGraphLearning/GearNet,https://github.com/DeepGraphLearning/GearNet,https://github.com/DeepGraphLearning/GearNet,,SOFTWARE,Verify paper DOI at family freeze; repository confirmed,true
SURFACE-DL,learned molecular surface descriptors,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; MaSIF and related surface-DL methods form a class,false
SHORT-ENSEMBLE,short MD / ensemble summaries of Fv,NO_SINGLE_CANONICAL_REFERENCE,, ,,,OpenMM,https://github.com/openmm/openmm,https://openmm.org/,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; ensemble protocol is family-defined,false
MLFF,machine-learning force-field energy proxies,NO_SINGLE_CANONICAL_REFERENCE,, ,,, ,,,,,REPRESENTATIVE_METHOD,NO_SINGLE_CANONICAL_REFERENCE; MLFF choice TBD at family freeze,false
