family_id,version,target,specification_hash,structure_source,status,n_features,canonical_model,date,posthoc_after_test_view,parent_version,notes,mechanistic_relevance_TmApp_score,mechanistic_relevance_TmApp_label,mechanistic_relevance_TmApp_display,mechanistic_relevance_HIC_score,mechanistic_relevance_HIC_label,mechanistic_relevance_HIC_display,mechanistic_rationale_TmApp,mechanistic_rationale_HIC,literature_evidence_grade_TmApp,literature_evidence_grade_HIC
ANM-SPECTRUM,v1,TmApp,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,DeepResearch first-wave; ProDy ANM/GNM,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,2,UNLIKELY_PRIMARY,2_UNLIKELY_PRIMARY,Conformational flexibility and collective modes are mechanistically linked to thermal unfolding / apparent Tm.,HIC retention is dominated by surface hydrophobicity; backbone mode spectra are not a primary chromatographic driver.,MODERATE,LOW
VHL-ANGLE,v1,TmApp,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,backbone-scale expected robust,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,3,RELATED_BUT_INDIRECT,3_RELATED_BUT_INDIRECT,Fab domain orientation and interface geometry can modulate conformational stability of the Fv.,Orientation may weakly reshape surface exposure but is not a direct HIC hydrophobicity descriptor.,MODERATE,LOW
PKA-SHIFT,v1,TmApp,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,extends Round1 underused pKa family,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,4,PLAUSIBLY_RELEVANT,4_PLAUSIBLY_RELEVANT,Anomalous pKa and buried charge states relate to electrostatic strain and conformational stability.,"Net charge / local electrostatics can modulate surface polarity relevant to HIC, though less directly than hydrophobicity.",MODERATE,MODERATE
3DI-FROZEN,v1,both,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,frozen embedding; both endpoints,4,PLAUSIBLY_RELEVANT,4_PLAUSIBLY_RELEVANT,4,PLAUSIBLY_RELEVANT,4_PLAUSIBLY_RELEVANT,Learned structural tokens may encode fold/geometry correlates of stability without an explicit physical mechanism.,"Same embeddings may capture surface/fold patterns correlated with retention, but mechanism is opaque.",LOW,LOW
AROMATIC-TOPO,v1,HIC,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,DeepResearch HIC high-interest,3,RELATED_BUT_INDIRECT,3_RELATED_BUT_INDIRECT,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,Aromatic packing can affect core stability indirectly; not the primary TmApp physical axis.,Aromatic surface patches are classic contributors to hydrophobic chromatography retention.,LOW,HIGH
STATIC-SAP,v1,HIC,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,distinct from Round1 ADV_SURFACE_PATCH,3,RELATED_BUT_INDIRECT,3_RELATED_BUT_INDIRECT,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,Aggregation propensity overlaps developability but is only indirectly tied to melting temperature.,SAP-style surface hydrophobicity is a standard mechanistic correlate of HIC/self-association risk.,MODERATE,HIGH
VOID-EXPLICIT,v1,TmApp,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,second wave; Round1 had packing proxy only,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,2,UNLIKELY_PRIMARY,2_UNLIKELY_PRIMARY,Packing defects and cavities are classical correlates of reduced conformational stability.,Internal voids are not primary drivers of chromatographic surface hydrophobicity.,MODERATE,LOW
POLAR-SAT,v1,TmApp,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,second wave; Round1 UNSAT was proxy,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,3,RELATED_BUT_INDIRECT,3_RELATED_BUT_INDIRECT,Unsatisfied buried polars destabilize folds; H-bond satisfaction is a stability mechanism.,May alter surface polarity indirectly but is not a primary HIC surface-hydrophobicity metric.,MODERATE,LOW
OPENMM-STRAIN,v1,TmApp,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,second wave; fragility vs ANM priority,4,PLAUSIBLY_RELEVANT,4_PLAUSIBLY_RELEVANT,1,NO_CLEAR_MECHANISTIC_LINK,1_NO_CLEAR_MECHANISTIC_LINK,"Predicted-structure strain may proxy local frustration relevant to stability, but is generator-fragile.",MM strain on predicted PDBs has no clear direct link to HIC retention chemistry.,LOW,SPECULATIVE
ENCOM-CHEM,v1,TmApp,,ESMFold+ABodyBuilder2+Boltz2,BACKLOG_UNEXECUTED,,Ridge,,false,,second wave,5,LIKELY_RELEVANT,5_LIKELY_RELEVANT,2,UNLIKELY_PRIMARY,2_UNLIKELY_PRIMARY,Chemically aware elastic modes extend ANM-like flexibility toward stability-relevant motions.,Mode chemistry is not a primary surface-hydrophobicity / HIC mechanism.,MODERATE,LOW
