id,K_VH_CH1_mean,K_VH_CH1_median,K_VH_CH1_q10,K_VH_CH1_q90,K_VH_CH1_iqr,K_VH_CH1_frac_neg,K_VH_CH1_n,K_VL_CL_mean,K_VL_CL_median,K_VL_CL_q10,K_VL_CL_q90,K_VL_CL_iqr,K_VL_CL_frac_neg,K_VL_CL_n,K_CH1_CL_mean,K_CH1_CL_median,K_CH1_CL_q10,K_CH1_CL_q90,K_CH1_CL_iqr,K_CH1_CL_frac_neg,K_CH1_CL_n
ADI-47109,41.22542764373269,33.2608553529022,10.719613020363056,77.10106710720942,64.96886956734058,0.0,8.0,35.75291492188846,25.64692460946675,11.92181261143181,76.46991232189832,38.971303410478775,0.0,8.0,45.59592407376388,32.40929730922849,10.789741329842066,90.15495100023097,40.54919037375652,0.0,8.0
ADI-38502,40.97496939559336,23.893716872491485,10.69957636051191,83.65305487853412,61.111812545995,0.0,8.0,44.60661399361356,24.24435841988653,12.46280242741275,106.00394894248736,44.20588079659064,0.0,8.0,39.83538436655944,33.56140525066938,10.32889815326571,74.61652128566732,56.65365572911502,0.0,8.0
ADI-38501,38.946257585664846,29.904714827835257,11.360786135599724,75.02727281261582,46.68541745316995,0.0,8.0,38.77093681196732,25.84729120797821,11.330731145823004,80.92806913877828,43.93037672363738,0.0,8.0,50.15426418989958,23.19243377770138,10.238733183935556,116.79369027232944,62.839974458156334,0.0,8.0
ADI-47173,36.19121685613228,14.927311589103695,10.098476564977537,81.56924225401495,43.73001012512593,0.0,8.0,37.34332479757317,25.84729120797821,12.102142550092124,76.98084714810254,43.329276928103006,0.0,8.0,38.35768070253744,16.430061077939637,11.290657826120714,79.50546628934693,58.28163434202064,0.0,8.0
ADI-47054,44.81950350453198,45.3329429132176,11.571171064036756,78.10290009976671,60.98658342192533,0.0,8.0,32.47191187126332,16.179602829800313,9.868054976689356,69.4069897243694,33.8870009732505,0.0,8.0,115.31097744334464,38.82102846159518,9.116680232271383,269.6734049365726,86.20772900955522,0.0,8.0
ADI-47278,30.130127251160644,14.025661895802129,10.489191432074875,62.14370052832899,26.79903255090764,0.0,8.0,69.3644118221857,41.726344140011335,10.178623204382117,156.00543360102196,101.58586544530972,0.0,8.0,52.4083884231535,45.433126212473326,9.8880916365405,105.60321574546444,72.48261701152029,0.0,8.0
ADI-47055,44.93220971619469,16.630427676451095,12.36261912815702,96.42642553363962,15.252907311684814,0.0,8.0,52.08279270057237,35.96580443280689,10.509228091926024,106.294480510329,82.42580946265144,0.0,8.0,36.328968892608906,20.136843150401628,9.587541738773313,75.9189041759918,34.488100768784875,0.0,8.0
ADI-47174,40.8497402715237,28.452056988627177,11.501042754557746,78.34334001798047,65.67015266213068,0.0,8.0,36.5919500531552,26.9993991494191,11.180456196939412,77.28139704586974,43.003681205521886,0.0,8.0,32.04613284942647,27.09958244867483,9.487358439517584,57.395012143607424,34.18755087101769,0.0,8.0
ADI-47056,30.130127251160648,11.420896115153162,9.276973511080552,82.43081862761423,19.084918508216468,0.0,8.0,38.54552438864192,29.75443987895166,11.491024424632172,81.17852738691761,41.22542764373269,0.0,8.0,41.41327132983719,31.4074643166712,10.008311595647376,81.9599571211123,57.93099279462557,0.0,8.0
ADI-47279,28.30178203974358,12.272454158826864,9.87807330661493,69.19660479593236,14.02566189580213,0.0,8.0,46.19702386929826,16.78070262533469,11.0001262582791,98.18965160054046,58.60723006460175,0.0,8.0,61.08676672118106,19.886384902262307,7.183142556635806,139.72564747196589,45.08248466507827,0.0,8.0
