id,construct,seq_len,status,npz,phys,pass_rate,runtime_s
ADI-47230,VL,106,OK,64,24,0.375,59.61402654647827
ADI-47230,CL,107,OK,64,55,0.859375,53.97771096229553
ADI-47230,VLCL,213,OK,64,6,0.09375,170.36894750595093
ADI-47123,VL,107,OK,64,24,0.375,54.15820550918579
ADI-47123,CL,107,OK,64,55,0.859375,47.60206747055054
ADI-47123,VLCL,214,OK,64,10,0.15625,171.51191568374634
ADI-45411,VL,110,OK,64,24,0.375,56.50333070755005
ADI-45411,CL,106,OK,64,19,0.296875,53.51073980331421
ADI-45411,VLCL,216,OK,64,7,0.109375,174.54530811309814
ADI-38500,VL,110,OK,64,30,0.46875,56.371397495269775
ADI-38500,CL,106,OK,64,19,0.296875,46.85414123535156
ADI-38500,VLCL,216,OK,64,5,0.078125,174.26924109458923
