rank,model_id,full_model_name,feature_blocks_full,regressor,preprocessing_full,result_class,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,public_mae,private_mae,prediction_source,canonical_replay_status,contains_any_PLM
1,HIC__SIMPLE_blend_seq_surf__HIST,Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),equal_mean_blend,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4257721922584362,0.4328749669956691,0.4293235796270526,0.4328749669956691,0.4148392100594437,0.4318145768709808,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
2,HIC__SIMPLE_blend_seq_surf_adv__HIST,Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),equal_mean_blend,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4251776987709104,0.4320764671385887,0.4286270829547495,0.4320764671385887,0.4204394325858053,0.4239298110263242,HISTORICAL_FROZEN_SUBMISSION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
3,HIC__SIMPLE_blend_esm2_surf__HIST,Equal-mean prediction blend of: ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),Equal-mean prediction blend of: ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),equal_mean_blend,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4324716368936545,,,,0.4237480344059232,0.4180226409189143,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
4,HIC__META_performance__ridge_10.0__HIST,prediction-level meta-learner (ridge_10.0) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),prediction-level meta-learner (ridge_10.0) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),ridge_10.0,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4498532320554946,,,,0.4266119633976947,0.4505211720174822,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
5,HIC__META_performance__ridge_1.0__HIST,prediction-level meta-learner (ridge_1.0) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),prediction-level meta-learner (ridge_1.0) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),ridge_1.0,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4489343976734367,,,,0.4353639440997759,0.4667721379568801,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
6,HIC__META_performance__ridge_0.1__HIST,prediction-level meta-learner (ridge_0.1) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),prediction-level meta-learner (ridge_0.1) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),ridge_0.1,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4546159557904721,,,,0.4408757532713614,0.4710210242653874,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
7,HIC__META_diversity__ridge_1.0__HIST,prediction-level meta-learner (ridge_1.0) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),prediction-level meta-learner (ridge_1.0) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),ridge_1.0,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4516549498793794,,,,0.4413297828399947,0.4486261442719902,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
8,HIC__META_diversity__ridge_10.0__HIST,prediction-level meta-learner (ridge_10.0) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),prediction-level meta-learner (ridge_10.0) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),ridge_10.0,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.45314046379,,,,0.441432544528268,0.4323884901514161,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
9,HIC__META_diversity__ridge_0.1__HIST,prediction-level meta-learner (ridge_0.1) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),prediction-level meta-learner (ridge_0.1) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),ridge_0.1,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4511556703060195,,,,0.4441895843210703,0.4556701654233223,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
10,HIC_HYDRO_TITRATION__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + HYDRO_FIELD continuous hydrophobic-field surface descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + HYDRO_FIELD continuous hydrophobic-field surface descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv),LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.4872225781431885,0.4833719610538652,0.4852972695985268,0.4872225781431885,0.4702379457310565,0.4641712708181718,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
