rank,model_id,full_model_name,feature_blocks_full,regressor,preprocessing_full,result_class,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,public_mae,private_mae,prediction_source,canonical_replay_status,contains_any_PLM
1,TmApp__ablang2__HL__RidgeOpt__HIST,Historical Stage-2 AbLang2 heavy+light protein-language-model embedding only (no SEQ_BASIC / BioEmu / ProteinMPNN / AbLingua blocks) under Optuna-tuned Ridge (alpha≈78.35145884661983),Historical Stage-2 AbLang2 heavy+light protein-language-model embedding only (no SEQ_BASIC / BioEmu / ProteinMPNN / AbLingua blocks) under Optuna-tuned Ridge (alpha≈78.35145884661983),RidgeOpt,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),HISTORICAL_LINEAR_OTHER,2.9375619787158387,3.030556011199951,2.984058994957895,3.030556011199951,3.0853249349711853,3.159989439410928,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
2,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding",RIDGE,recipe_raw + PCA32(AbLingua) + Ridge,FEATURE_LINEAR,2.7466001170280285,2.822725206703513,2.784662661865771,2.822725206703513,3.106900023997267,3.326374924950283,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
3,TM_PARENT_ABLINGUA_CDR3__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding + AbLingua-600M CDR3-guided residue pooling embedding with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding + AbLingua-600M CDR3-guided residue pooling embedding",RIDGE,recipe_raw + PCA32_per_abl_block + Ridge,FEATURE_LINEAR,2.732072376654289,2.784957206877823,2.758514791766056,2.784957206877823,3.1185249613955217,3.289917689937472,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
4,TM_BASE_BIOEMU_MPNN__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors",RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,2.702681240871287,2.845936772811553,2.7743090068414205,2.845936772811553,3.1199439738928896,3.432660341190389,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
5,TM_BASE_BIOEMU__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors",RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,2.728609764529513,2.864447740706632,2.7965287526180727,2.864447740706632,3.1348956756048434,3.482911833404577,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
6,TM_BASE_BIOEMU_MPNN__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors with LASSO","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors",LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,2.869736881558336,2.875164722539417,2.8724508020488764,2.875164722539417,3.215082849230016,3.3020522485399617,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
7,TM_BASE_BIOEMU__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with LASSO","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors",LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,2.8818550420177638,2.894073206694681,2.8879641243562224,2.894073206694681,3.225832442554766,3.3087009106950167,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
8,TmApp__META_performance__convex_mae__HIST,prediction-level meta-learner (convex_mae) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,prediction-level meta-learner (convex_mae) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,convex_mae,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,2.797917422527372,,,,3.2306885841030826,3.211552262966718,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
9,TmApp__META_performance__nnls__HIST,prediction-level meta-learner (nnls) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,prediction-level meta-learner (nnls) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,nnls,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,2.8169388911735287,,,,3.2306885841030826,3.211552262966718,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
10,TmApp__META_performance__nnls_norm__HIST,prediction-level meta-learner (nnls_norm) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,prediction-level meta-learner (nnls_norm) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,nnls_norm,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,2.8127860497083845,,,,3.2306885841030826,3.211552262966718,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
