rank,model_id,full_model_name,feature_blocks_full,regressor,preprocessing_full,result_class,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,public_mae,private_mae,prediction_source,canonical_replay_status,contains_any_PLM
1,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding",RIDGE,recipe_raw + PCA32(AbLingua) + Ridge,FEATURE_LINEAR,2.7466001170280285,2.822725206703513,2.784662661865771,2.822725206703513,3.106900023997267,3.326374924950283,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
2,TM_PARENT_ABLINGUA_CDR3__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding + AbLingua-600M CDR3-guided residue pooling embedding with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding + AbLingua-600M CDR3-guided residue pooling embedding",RIDGE,recipe_raw + PCA32_per_abl_block + Ridge,FEATURE_LINEAR,2.732072376654289,2.784957206877823,2.758514791766056,2.784957206877823,3.1185249613955217,3.289917689937472,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
3,TM_BASE_BIOEMU_MPNN__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors",RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,2.702681240871287,2.845936772811553,2.7743090068414205,2.845936772811553,3.1199439738928896,3.432660341190389,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
4,TM_BASE_BIOEMU__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors",RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,2.728609764529513,2.864447740706632,2.7965287526180727,2.864447740706632,3.1348956756048434,3.482911833404577,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
5,TM_BASE_BIOEMU_MPNN__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors with LASSO","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors",LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,2.869736881558336,2.875164722539417,2.8724508020488764,2.875164722539417,3.215082849230016,3.3020522485399617,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
6,TM_BASE_BIOEMU__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with LASSO","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors",LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,2.8818550420177638,2.894073206694681,2.8879641243562224,2.894073206694681,3.225832442554766,3.3087009106950167,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
7,TM_BASE_MPNN__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + ProteinMPNN sequence–structure compatibility native-score descriptors with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + ProteinMPNN sequence–structure compatibility native-score descriptors",RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,2.737131275300181,2.878130055093428,2.807630665196805,2.878130055093428,3.255680141998243,3.4447572323707307,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
8,TM_PARENT_ABLINGUA_GLOBAL__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding with LASSO","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding",LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,3.1749884526917262,3.243738103777528,3.209363278234627,3.243738103777528,3.260223703657545,3.151212494407123,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
9,TM_ABLANG2_SEQ__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries)",RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,2.7629769100217336,2.8973641403873263,2.83017052520453,2.8973641403873263,3.266464055413186,3.5000584900344416,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
10,TM_FENNIX_CONTEXT__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + FeNNix full-Fab combined predeclared energy/geometry context descriptors with RIDGE","AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + FeNNix full-Fab combined predeclared energy/geometry context descriptors",RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,2.8731217440167574,2.9921885756303706,2.932655159823564,2.9921885756303706,3.26851749070895,3.6153511447636704,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
