feature,family,molecular_scope,region,condition_source,mathematical_definition,units,normalization,notes
DELTA_GEOM__K_all_bb_mean,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_all_bb_median,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_all_bb_q90,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_all_bb_iqr,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_all_bb_frac_neg,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_FW_mean,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_FW_median,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_FW_q90,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_CDR_mean,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_CDR_median,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
