id,role,sequence_group,HIC,TmApp
ADI-38502,Train,0,8.886,66.0
ADI-38501,Train,1,8.959,64.5
ADI-47173,Private,2,8.465,64.5
ADI-47054,Train,3,8.523,71.0
ADI-47278,Private,4,8.547,71.5
ADI-47055,Private,5,8.571,70.5
ADI-47174,Public,6,8.596,74.0
ADI-47056,Public,31,8.62,68.5
ADI-47279,Private,7,8.62,65.5
ADI-47057,Public,8,8.625,67.5
ADI-47280,Train,9,8.625,70.0
ADI-47058,Private,10,8.63,67.0
ADI-47281,Private,11,8.644,72.0
ADI-47175,Private,12,8.659,68.0
ADI-47282,Public,13,8.673,70.5
ADI-47283,Train,14,8.683,71.5
ADI-47059,Private,4,8.688,68.0
ADI-47060,Train,15,8.707,65.0
ADI-47178,Public,16,8.717,70.5
ADI-47177,Train,17,8.717,73.0
ADI-47284,Train,18,8.717,64.5
ADI-47179,Public,19,8.721,65.5
ADI-47180,Train,20,8.727,72.0
ADI-45439,Train,21,8.736,67.5
ADI-45368,Public,19,8.736,67.5
ADI-47062,Private,22,8.751,70.0
ADI-47182,Public,23,8.756,72.0
ADI-47063,Train,0,8.756,64.5
ADI-47183,Train,24,8.756,69.5
ADI-47064,Train,25,8.77,66.5
ADI-47066,Train,26,8.775,71.0
ADI-45379,Train,27,8.794,66.0
ADI-47067,Private,7,8.795,60.5
ADI-47068,Train,28,8.8,70.5
ADI-47069,Train,29,8.804,61.0
ADI-47070,Public,30,8.809,63.5
ADI-45442,Private,47,8.809,67.0
ADI-47184,Public,31,8.819,65.5
ADI-47073,Train,32,8.829,61.5
ADI-46682,Train,33,8.833,70.5
ADI-47074,Train,34,8.834,72.5
ADI-47186,Private,35,8.838,71.0
ADI-45370,Public,36,8.848,69.0
ADI-47077,Public,37,8.858,67.0
ADI-47079,Train,38,8.877,67.0
ADI-47289,Train,39,8.877,67.0
ADI-47191,Public,40,8.882,71.5
ADI-47192,Private,41,8.886,64.0
ADI-47290,Public,36,8.897,73.0
ADI-47195,Train,42,8.906,68.5
ADI-47196,Public,43,8.906,69.0
ADI-47083,Public,44,8.921,63.0
ADI-47198,Public,45,8.926,67.5
ADI-47199,Train,46,8.931,71.0
ADI-47201,Public,36,8.935,68.5
ADI-45447,Private,47,8.945,60.0
ADI-47293,Private,47,8.95,67.0
ADI-45378,Private,47,8.95,80.5
ADI-47204,Train,48,8.965,67.0
ADI-47093,Public,49,8.989,69.0
ADI-47297,Train,50,9.008,79.5
ADI-45440,Train,51,9.017,67.0
ADI-47209,Train,28,9.037,77.0
ADI-46678,Public,31,9.056,72.5
ADI-47099,Train,52,9.071,68.5
ADI-47300,Train,0,9.076,68.0
ADI-47100,Train,53,9.081,67.0
ADI-47215,Train,54,9.086,76.0
ADI-47216,Train,24,9.096,70.0
ADI-47217,Private,55,9.1,73.5
ADI-46710,Train,24,9.1,72.5
ADI-47301,Train,42,9.115,67.0
ADI-47187,Train,24,9.119,66.5
ADI-47105,Train,9,9.13,69.5
ADI-47106,Private,56,9.134,60.0
ADI-45490,Train,57,9.144,69.5
ADI-47302,Train,24,9.149,73.0
ADI-47109,Private,58,9.164,65.5
ADI-47304,Public,59,9.193,69.0
ADI-47112,Public,60,9.193,59.5
ADI-47113,Private,61,9.198,73.0
ADI-47224,Train,28,9.207,76.0
ADI-47225,Train,42,9.236,63.5
ADI-45429,Private,4,9.255,74.0
ADI-47119,Public,36,9.261,66.5
ADI-47308,Train,24,9.275,66.5
ADI-47121,Private,62,9.28,67.5
ADI-47122,Train,53,9.285,66.0
ADI-47311,Private,7,9.294,69.0
ADI-47123,Train,63,9.309,72.0
ADI-47231,Public,64,9.358,70.5
ADI-47232,Public,31,9.358,70.0
ADI-47258,Train,65,9.372,68.0
ADI-46677,Train,66,9.406,68.0
ADI-45491,Train,28,9.406,74.0
ADI-47313,Public,67,9.454,64.5
ADI-45373,Public,31,9.532,68.0
ADI-47132,Train,68,9.557,70.5
ADI-47237,Public,69,9.6,76.5
ADI-47238,Train,53,9.6,77.0
ADI-47135,Public,37,9.62,56.0
ADI-47243,Public,70,9.668,70.0
ADI-45375,Public,71,9.736,66.0
ADI-47244,Train,72,9.756,71.5
ADI-47247,Train,15,9.78,76.0
ADI-47140,Public,6,9.813,66.0
ADI-47317,Train,42,9.833,69.0
ADI-45448,Private,73,9.847,69.5
ADI-47143,Public,74,9.94,76.5
ADI-45382,Private,75,9.959,71.0
ADI-47253,Public,76,9.979,64.5
ADI-47256,Private,77,10.023,63.0
ADI-47166,Public,36,10.09,65.5
ADI-45428,Private,7,10.372,70.5
ADI-47149,Train,53,10.503,76.0
ADI-47151,Train,78,10.546,67.5
ADI-47152,Public,43,10.551,67.5
ADI-47259,Train,53,10.717,72.5
ADI-47260,Train,24,10.74,79.0
ADI-47261,Private,12,10.809,60.0
ADI-47155,Train,79,10.984,60.0
ADI-47153,Train,80,11.148,60.0
ADI-47158,Train,81,11.386,69.0
ADI-45438,Public,82,11.643,67.5
ADI-47161,Private,83,11.775,70.5
ADI-38498,Public,60,8.804,70.5
ADI-38500,Private,84,9.294,66.0
ADI-38499,Train,85,9.901,65.5
ADI-45397,Public,43,8.624,71.0
ADI-45456,Public,86,8.697,73.0
ADI-45455,Train,87,8.717,57.5
ADI-45450,Train,87,8.717,70.5
ADI-45465,Train,88,8.755,73.5
ADI-45464,Train,24,8.77,70.0
ADI-46692,Public,89,8.789,67.0
ADI-45390,Train,42,8.809,73.0
ADI-45395,Private,47,8.814,70.0
ADI-46690,Train,0,8.819,73.5
ADI-45393,Private,47,8.838,65.5
ADI-46685,Train,9,8.843,68.5
ADI-45460,Private,7,8.852,67.0
ADI-45389,Train,90,8.857,67.5
ADI-46689,Public,91,8.867,66.5
ADI-45459,Private,7,8.872,72.5
ADI-45463,Train,85,8.916,74.5
ADI-45470,Private,7,8.959,65.0
ADI-47295,Private,92,8.964,69.0
ADI-45452,Public,93,8.969,68.5
ADI-45454,Train,28,8.974,69.0
ADI-45388,Train,53,8.984,72.5
ADI-47205,Private,94,8.988,77.0
ADI-46695,Train,95,9.013,70.5
