id,seq_Y_count,seq_W_count,seq_F_count,seq_YWF_total,seq_YWF_fraction,CDR_seq_Y_count,CDR_seq_W_count,CDR_seq_F_count,CDR_seq_YWF_total,seq_polar_count,seq_polar_fraction,seq_donor_capable_count,seq_acceptor_capable_count,seq_polar_uncharged_count,seq_charged_count,CDR_seq_polar_count,CDR_seq_polar_fraction,fv_length
ADI-37123,9,5,8,22,0.09734513274336283,1,0,4,5,124,0.5486725663716814,111,98,85,39,27,0.5869565217391305,226
ADI-38499,13,4,3,20,0.08733624454148471,5,0,1,6,127,0.5545851528384279,112,108,96,31,31,0.62,229
ADI-38501,13,5,8,26,0.1145374449339207,4,1,2,7,124,0.5462555066079295,106,98,84,40,34,0.723404255319149,227
ADI-38502,16,5,9,30,0.13043478260869565,8,1,4,13,127,0.5521739130434783,111,102,91,36,33,0.66,230
ADI-45379,13,5,8,26,0.11504424778761062,3,1,2,6,126,0.5575221238938053,104,101,83,43,30,0.6521739130434783,226
ADI-45388,13,6,6,25,0.10683760683760683,4,2,2,8,123,0.5256410256410257,106,98,86,37,30,0.5555555555555556,234
ADI-45389,13,5,8,26,0.1145374449339207,5,1,3,9,120,0.5286343612334802,105,99,89,31,27,0.5625,227
ADI-45390,15,4,7,26,0.11353711790393013,7,0,4,11,129,0.5633187772925764,113,108,94,35,34,0.68,229
ADI-45391,13,5,7,25,0.10964912280701754,4,1,3,8,120,0.5263157894736842,105,98,87,33,26,0.5306122448979592,228
ADI-45402,14,5,8,27,0.11392405063291139,5,1,4,10,129,0.5443037974683544,111,104,91,38,35,0.6140350877192983,237
ADI-45406,12,6,7,25,0.1091703056768559,4,2,2,8,128,0.5589519650655022,108,100,86,42,34,0.6938775510204082,229
ADI-45408,14,5,7,26,0.11206896551724138,5,1,3,9,125,0.5387931034482759,108,102,90,35,31,0.5961538461538461,232
ADI-45422,18,4,7,29,0.12554112554112554,9,0,2,11,126,0.5454545454545454,110,102,89,37,32,0.6274509803921569,231
ADI-45425,18,7,5,30,0.12658227848101267,9,3,2,14,133,0.5611814345991561,118,107,98,35,41,0.7068965517241379,237
ADI-45430,14,7,5,26,0.1111111111111111,7,2,1,10,133,0.5683760683760684,116,108,97,36,37,0.6851851851851852,234
ADI-45435,17,9,6,32,0.13389121338912133,9,3,2,14,140,0.5857740585774058,124,113,105,35,41,0.6949152542372882,239
ADI-45439,10,5,8,23,0.10087719298245613,3,1,3,7,127,0.5570175438596491,110,102,88,39,28,0.5833333333333334,228
ADI-45440,12,7,7,26,0.11304347826086956,3,3,3,9,125,0.5434782608695652,106,99,84,41,32,0.6274509803921569,230
ADI-45450,14,4,8,26,0.11403508771929824,7,0,2,9,125,0.5482456140350878,108,100,86,39,29,0.6041666666666666,228
ADI-45451,16,5,7,28,0.11715481171548117,8,1,3,12,136,0.5690376569037657,114,112,95,41,38,0.6440677966101694,239
ADI-45453,9,6,10,25,0.11013215859030837,3,2,2,7,120,0.5286343612334802,101,95,81,39,28,0.5957446808510638,227
ADI-45454,10,6,7,23,0.09787234042553192,5,2,2,9,126,0.5361702127659574,106,98,83,43,35,0.6363636363636364,235
ADI-45455,12,4,8,24,0.10344827586206896,3,1,3,7,123,0.5301724137931034,103,100,83,40,29,0.5576923076923077,232
ADI-45461,16,4,9,29,0.12133891213389121,8,0,3,11,129,0.5397489539748954,108,100,82,47,35,0.5932203389830508,239
ADI-45463,12,6,5,23,0.09956709956709957,4,2,2,8,118,0.5108225108225108,101,96,83,35,28,0.5384615384615384,231
ADI-45464,13,6,7,26,0.1145374449339207,5,1,1,7,128,0.5638766519823789,111,104,93,35,33,0.7021276595744681,227
ADI-45465,15,7,4,26,0.11304347826086956,7,2,0,9,131,0.5695652173913044,116,107,96,35,33,0.6470588235294118,230
ADI-45479,14,4,7,25,0.10822510822510822,6,0,1,7,121,0.5238095238095238,106,99,88,33,26,0.5098039215686274,231
ADI-45480,15,5,8,28,0.1222707423580786,7,0,3,10,128,0.5589519650655022,114,106,95,33,30,0.6122448979591837,229
ADI-45488,16,5,8,29,0.12446351931330472,7,1,3,11,126,0.5407725321888412,107,100,86,40,34,0.6415094339622641,233
ADI-45490,14,6,5,25,0.1072961373390558,6,1,2,9,125,0.5364806866952789,110,99,89,36,31,0.5740740740740741,233
ADI-45491,12,7,7,26,0.11158798283261803,5,1,3,9,129,0.5536480686695279,115,103,94,35,32,0.6037735849056604,233
ADI-45493,16,7,6,29,0.12184873949579832,8,1,2,11,138,0.5798319327731093,121,110,99,39,40,0.6896551724137931,238
ADI-45495,14,6,5,25,0.10964912280701754,8,1,0,9,128,0.5614035087719298,117,107,100,28,31,0.6326530612244898,228
