claim,evidence_tier,supporting_experiments,contradicting_experiments,evaluation_protocol,pre_or_post_external,source_paths,notes,original_tier,validated_tier,claim_type,replication_level,protocol_comparability,external_evidence_class,confidence_notes
HIC continuous regression is a valid competition target (keep continuous; do not binarize),Tier1_Established,GATE-B6.2; GATE-B6.4,,CAND_12528; SGKF_Q7; MAE primary,mixed_internal_then_holdout_confirm,gate_b6_2_hic_validity/reports/GATE_B6_2_HIC_VALIDITY_FINAL.md; gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md,Decision KEEP_HIC_CONTINUOUS; HIGH n=13 data-limited,Tier1_Established,Tier1_Established,OBSERVATION,multi_gate_same_split_family,CAND_12528-centric decision; target definition applies to all HIC work,MIXED,Decision KEEP_HIC_CONTINUOUS confirmed in B6.2 and B6.4; not a numeric score claim.
High-HIC tail (>11.5 min) is systematically underpredicted / regression-to-center,Tier1_Established,GATE-B6.2; GATE-B6.4; GATE-B7-VC,,CAND_12528; HIGH band n=13 (6/3/4),Internal diagnosis + post-holdout confirm,gate_b6_2_hic_validity/reports/03_hic_tail_performance.md; gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md; gate_b7_virtual_competition/reports/GATE_B7_VIRTUAL_COMPETITION_FINAL.md,Nested upper10% MAE 1.4421 signed bias -1.4421; VC personas HIGH->LOW 0.75-1.00,Tier1_Established,Tier1_Established,OBSERVATION,multi_experiment_multi_model_same_split,All supporting gates on CAND_12528; band definition portable; scores not portable to GEN_0001,MIXED,VALIDATED as underprediction observation across Nested/advanced models and CV/Pub/Priv. Regression-to-center supported by pred_SD/obs_SD≈0.56 (B6.2 shrinkage). Do NOT read as proven data-limit causality.
Pearson is fragile for HIC due to high-tail leverage; MAE should be primary,Tier1_Established,GATE-B6.2; GATE-B7.3 Pearson sanity,,CAND_12528 / GEN_0001,Internal,gate_b6_2_hic_validity/reports/04_pearson_influence.md; gate_b7_3_principled_split/reports/08_FINAL_GEN0001_PEARSON_SANITY_AUDIT.md,Pearson diagnostic only,Tier1_Established,Tier1_Established,OBSERVATION,multi_split_diagnostic,Shown on CAND_12528 and GEN_0001 Pearson sanity; metric policy portable,INTERNAL_ONLY,Metric policy claim; replicated across two splits.
Production Public/Private split is GEN_0001_B_20271100 (not CAND_12528),Tier1_Established,GATE-B7.3; competition PROVENANCE,Earlier freeze recommendations for CAND_12528,model-blind principled split,Post split redesign,competition/organizer/PROVENANCE.md; gate_b7_3_principled_split/config/B7_3_RECOMMENDED_SPLIT.json,CAND_12528 scores are NOT directly comparable to GEN_0001 scores,Tier1_Established,Tier1_Established,OBSERVATION,provenance_document,N/A (definitional),INTERNAL_ONLY,Provenance fact. Bundle solution.csv is_public/is_private match GEN_0001 (81/81 exact). CAND_12528 public overlap only 35/81.
Scores on CAND_12528 vs GEN_0001 vs canonical_simple_tvt vs V3-OOF are not directly interchangeable,Tier1_Established,protocol inventory,,multi-protocol,meta,developability_drilldown/results/experiments.csv; gate_b6_split_search/; competition/organizer/PROVENANCE.md,"Compare within protocol only; Overall=mean(Pub,Priv) shared but split differs",Tier1_Established,Tier1_Established,OBSERVATION,protocol_inventory,meta,INTERNAL_ONLY,Confirmed: CAND vs GEN public ID overlap 35/81; V3 TEST_mean is Dev OOF not Pub/Priv; canonical_simple CV ≠ V3 OOF.
Explicit SURFACE (AROMATIC_TOPO + HYDRO_FIELD) late fusion improves V3 DL HIC vs sequence-only backbones,Tier1_Established,"EXP-H082,H085,H086,H089,H090,H093",,dl_foldlocal_cosine_v3_oof_test,Pre-external freeze then external reported,developability_drilldown/results/HIC_H047_FEATURE_FUSION_REPORT.md; commit 3d0e336e,H086 Overall 0.406; permutation F1/F4 ALL_AUX ΔMAE +0.13–0.20,Tier1_Established,Tier1_Established,OBSERVATION,multi_backbone_same_protocol,dl_foldlocal_cosine_v3 only; comparable within H054/H061/H071 vs H082/H086/H090 cluster,MIXED,TEST_mean and Overall improve vs matched backbones; F1/F4 permutation ΔMAE positive. Scope: strongest tested lever UNDER V3 late-fusion — NOT general superiority of SURFACE as HIC representation. Seed=101 fixed; no multi-seed. Pre-external freeze then external scored on GEN_0001.
LOCAL_RASA alone as late-fusion aux does not help HIC Transformers,Tier1_Established,"EXP-H084,H088,H092",,dl_foldlocal_cosine_v3_oof_test,Pre-external freeze batch,developability_drilldown/results/HIC_H047_FEATURE_FUSION_REPORT.md,F3 alone worse/flat; sub-perm near zero,Tier1_Established,Tier1_Established,OBSERVATION,three_backbones_same_protocol,V3 late-fusion batch only,MIXED,H084/H088/H092 worse/flat vs bases; F4 sub-perm near zero for LOCAL_RASA.
V3 architecture search (ESM2/Scratch × ARCH-H0..8) plateaus ~TEST_mean 0.50 without physical fusion,Tier1_Established,EXP-H054–H081,,dl_foldlocal_cosine_v3_oof_test; annotation FULL fixed,Pre-external freeze 5b8ac2c6,developability_drilldown/results/HIC_NEW_DL_MASTER_TABLE.csv; HIC_ESM2_SCRATCH_ARCHITECTURE_REPORT.md,Not TmApp factorial vocabulary,Tier1_Established,Tier1_Established,OBSERVATION,28_experiments_same_protocol,V3; annotation=FULL; seed=101; LR grid fixed; ESM2|Scratch only,INTERNAL_ONLY,"RE-SCOPED: OBSERVED_PLATEAU_UNDER_TESTED_CONFIGURATION. All 28 TEST_mean in [0.5017,0.5567]. NOT validated as GENERAL_ARCHITECTURE_CEILING (no AbLang2/CurrAb, no annot factorial, no multi-seed, no broader HP search)."
Learned geometry bias (ARCH-6G) is not a clear HIC win; near-zero at inference ablation,Tier2_Supported,EXP-H064/065/078/079; geometry-zero diagnostic,,dl_foldlocal_cosine_v3,Pre-external,developability_drilldown/results/HIC_GEOMETRY_REPORT.md; TM_HIC_GEOMETRY_ZERO_DIAGNOSTIC.md,Inconsistent signed deltas; ablation ~1e-5–1e-4,Tier2_Supported,Tier2_Supported,OBSERVATION,few_paired_arch_cells_plus_ablation,V3 geometry cells,INTERNAL_ONLY,Inconsistent signed deltas; ablation ~1e-5–1e-4. Supported negative/null under tested cells.
HIC gains primarily from explicit physicochemical/surface features (asymmetric vs TmApp representation/topology),Tier3_Suggestive,H054–H093 synthesis; T124–T129 contrast,,V3 same platform,Internal synthesis,developability_drilldown/results/TM_STRUCTURE_VS_HIC_FEATURE_SYNTHESIS.md; TM_HIC_PROMISING_MODEL_REPORT_FINAL.md,Hypothesis partially supported within this batch,Tier2_Supported,Tier3_Suggestive,INTERPRETATION,single_batch_synthesis,V3 same platform but cross-target analogy,INTERNAL_ONLY,DOWNGRADE Tier2→Tier3. Synthesis hypothesis from one platform batch; TmApp factorial not run on HIC. Observation that surface fusion helped HIC remains Tier1 separately.
