asset,path,exists,notes
ablang2_residue,/workspace_developability_acquisition/top_models_feature_bundle/residue_level/ablang2,True,H/L 480
ablingua_residue,/workspace_developability_acquisition/top_models_feature_bundle/residue_level/ablingua600m,True,H/L 1280
esm2_residue,/workspace_developability_acquisition/top_models_feature_bundle/residue_level/esm2,True,H 1280
annotations,/workspace_developability_acquisition/top_models_feature_bundle/residue_level/annotations.parquet,True,IMGT FR/CDR
ablingua_guided,/workspace_developability_acquisition/organizer_extension/feature_prospecting/ablingua600m/embeddings_guided,True,historical guided pools
aromatic_topo,/workspace_developability_acquisition/top_models_feature_bundle/data/aromatic_topo.parquet,True,existing aromatic
continuous_surface,/workspace_developability_acquisition/top_models_feature_bundle/data/continuous_surface.parquet,True,existing surface
esmfold_fv_pdb,/workspace_developability_acquisition/feature_extension/data/esmfold_fv,True,RASA source
bioemu,/workspace_developability_acquisition/top_models_feature_bundle/data/bioemu_new_pairwise.parquet,True,BioEmu
proteinmpnn,/workspace_developability_acquisition/top_models_feature_bundle/data/proteinmpnn.parquet,True,ProteinMPNN
