experiment_code,column_pattern,n_columns,feature_block_id,feature_family,biological_quantity,source_input,source_tool,source_model,source_script,source_function,region,chain,aggregation,formula_or_algorithm,unit,notes
EXP-H047,esm2h_{0000-1279},1280,ESM2_H,ESM2_heavy_mean_pool,ESM-2 sequence embedding of heavy chain,heavy sequence only (bundle is H half of Stage2 split),HuggingFace transformers AutoModel (gate_b1) / fair-esm for residue pack,facebook/esm2_t33_650M_UR50D (650M; 33 layers; hidden 1280),gate_b1/scripts/06_plm_embeddings.py → Stage2 split to esm2__H,embed_esm (mean over AA tokens excluding specials),whole H,H only,token mean pool excluding CLS/EOS,pooled = last_hidden_state[1:-1].mean(0),embedding units,"Canonical: top_models_feature_bundle/data/esm2_heavy.parquet. PCA=false in EXP-H047. Residue pack (FB path) uses fair-esm repr_layers=[33]; mean-pool vs this block max abs ~5.6e-6."
EXP-H047,seqA_* matching SEQ_BASIC stems,78,SEQ_ALL,SEQ_BASIC_subset_inside_SEQ_ALL,same as SEQ_BASIC (length/AAC/simple fracs),H/L/concat sequences,stdlib Counter,NA,virtual_participant/stage1_features/scripts/run_stage1.py,build_all_feature_tables,whole chains,HL,same as SEQ_BASIC,identical formulas to SEQ_BASIC; prefix seqA_ instead of seqB_,varies,SEQ_ALL = SEQ_BASIC (78) + physchem extras (37) = 115. No germline/CDR-length/ANARCI region families.
EXP-H047,seqA_{h,l,c}_pos_frac;_neg_frac;_polar_frac;_cys_count;_cys_frac;_pos_minus_neg,18,SEQ_ALL,SEQ_ALL_physchem_counts,charge/polar/Cys composition,H/L/concat,stdlib,NA,run_stage1.py,physchem_block,whole,HL,fraction/count,"POS=KR NEG=DE POLAR=STNQ; pos_minus_neg = n_pos-n_neg",fraction or count,
EXP-H047,seqA_{h,l,c}_pI;_gravy;_aromaticity;_net_charge_ph7,12,SEQ_ALL,SEQ_ALL_ProtParam,Biopython ProtParam descriptors,H/L/concat cleaned to standard AA,Bio.SeqUtils.ProtParam.ProteinAnalysis,NA,run_stage1.py,safe_protparam,whole,HL,ProtParam,"pI=isoelectric_point(); gravy=gravy(); aromaticity=aromaticity(); net_charge_ph7=charge_at_pH(7)",pI / GRAVY / fraction / e,GRAVY is Kyte-Doolittle mean via ProtParam (not Fauchère).
EXP-H047,seqA_hl_pI_diff;seqA_hl_gravy_diff;seqA_hl_charge_diff,3,SEQ_ALL,SEQ_ALL_HL_diffs,H−L ProtParam differences,H and L ProtParam,Biopython,NA,run_stage1.py,build_all_feature_tables,Fv,HL,difference,h_pI-l_pI etc.,varies,
EXP-H047,seqA_h_entropy;seqA_l_entropy;seqA_h_n_unique;seqA_l_n_unique,4,SEQ_ALL,SEQ_ALL_diversity,AA Shannon entropy and unique count,H/L,stdlib,NA,run_stage1.py,shannon_entropy,whole,H/L,entropy / count,−Σ p log2 p ; n_unique=|set(seq)|,bits / count,
EXP-H047,aro_exposed_{TYR,TRP,PHE}_count;aro_exposed_aromatic_total_count,4,AROMATIC_TOPO,aromatic_exposed_counts,counts of exposed F/W/Y,ESMFold Fv,Bio.PDB ShrakeRupley,NA,organizer_extension/.../scripts/extract_physical_batch1.py,aromatic_features,Fv (+CDR subset features elsewhere),HL Fv,count,AA in {F,W,Y} with RASA≥0.20,count,H not aromatic. Structure via STRUCTURE_INPUT_CROSSWALK_v2 esmfold_canonical_path.
EXP-H047,aro_aromatic_exposed_SASA_total;aro_aromatic_exposed_SASA_fraction,2,AROMATIC_TOPO,aromatic_exposed_SASA,exposed aromatic SASA and fraction of total SASA,ESMFold Fv,ShrakeRupley probe=1.4 n_points=100,NA,extract_physical_batch1.py,aromatic_features,Fv,HL,sum / ratio,sum SASA of exposed aromatics; / total residue SASA,Å² / fraction,RASA = SASA/MAX_ASA (Tien2013).
EXP-H047,aro_strongly_exposed_aromatic_count;aro_strongly_exposed_aromatic_SASA,2,AROMATIC_TOPO,aromatic_strong_exposure,RASA≥0.50 aromatics,ESMFold Fv,ShrakeRupley,NA,aromatic_features,aromatic_features,Fv,HL,count/sum,is_strongly_exposed = RASA≥0.50,count / Å²,
EXP-H047,aro_CDR_exposed_aromatic_count;aro_CDR_aromatic_SASA;aro_CDR_aromatic_fraction,3,AROMATIC_TOPO,aromatic_CDR,exposed aromatics in IMGT CDRs,ESMFold Fv + IMGT,ShrakeRupley,NA,aromatic_features,aromatic_features,CDR,HL,count/sum/ratio,CDR among exposed aromatics; fraction = CDR_SASA / exposed_aromatic_SASA,varies,
