Code,Backbone,Aux,HSP_family,Aux_dim,TEST_P,TEST_S,TEST_mean,TEST_worst,Pub,Priv,Overall
EXP-H071,EXP-H071,NONE,,0,0.5284297512666679,0.4749465964988425,0.5016881738827552,0.5284297512666679,0.4795710758162133,0.4800268844792872,0.4797989801477502
EXP-H090,EXP-H071,F1_SURFACE,,35,0.45757075571130823,0.4854537234836154,0.4715122395974618,0.4854537234836154,0.405876104849356,0.4128748083232361,0.4093754565862961
EXP-H093,EXP-H071,F4_H047_AUX_ALL,,200,0.4983819906917618,0.5058691315356596,0.5021255611137108,0.5058691315356596,0.4069604137090991,0.4214826455763829,0.4142215296427409
EXP-H061,EXP-H061,NONE,,0,0.5330681005407263,0.4805228534745581,0.5067954770076422,0.5330681005407263,0.4816351869371202,0.4615196249691057,0.471577405953113
EXP-H086,EXP-H061,F1_SURFACE,,35,0.4714368941224652,0.501216005537245,0.48632644982985507,0.501216005537245,0.4017567271479853,0.4109313752916124,0.4063440512197989
EXP-H089,EXP-H061,F4_H047_AUX_ALL,,200,0.47170651537106356,0.46781190697940767,0.4697592111752356,0.47170651537106356,0.4018183804735727,0.4391924267992561,0.4205054036364143
EXP-H102,EXP-H071,FS_HIC_HSP_BM_R5_PROMOTED,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R5p0,3,0.4776913112593286,0.46157451785052267,0.4696329145549256,0.4776913112593286,0.4755986840518904,0.4266101140151789,0.4511043990335346
EXP-H103,EXP-H071,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R5p0,38,0.4409347164483718,0.4892801464693046,0.4651074314588382,0.4892801464693046,0.4018727199413157,0.4132900501769266,0.4075813850591212
EXP-H104,EXP-H071,FS_HIC_HSP_FP_R5_PROMOTED,HSP_FP_MINMAX_SIDECHAIN_SASA_ABS_CLOSEST_SC_R5p0,3,0.5030931984701273,0.4946273319103099,0.49886026519021864,0.5030931984701273,0.4295397912484629,0.4465301774578331,0.438034984353148
EXP-H105,EXP-H071,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,HSP_FP_MINMAX_SIDECHAIN_SASA_ABS_CLOSEST_SC_R5p0,38,0.461215431307569,0.4854651138399854,0.4733402725737772,0.4854651138399854,0.40358410230095,0.4143752454592858,0.4089796738801179
EXP-H106,EXP-H071,FS_HIC_HSP_EIS_R8_PROMOTED,HSP_EIS_RAW_SIDECHAIN_SASA_ABS_CENTROID_R8p0,3,0.47249842947500725,0.4808270004178271,0.4766627149464172,0.4808270004178271,0.4895328620628074,0.446706404886128,0.4681196334744678
EXP-H107,EXP-H071,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,HSP_EIS_RAW_SIDECHAIN_SASA_ABS_CENTROID_R8p0,38,0.45119179897543815,0.44406657442634484,0.44762918670089147,0.45119179897543815,0.3913406966409565,0.3958980459519375,0.393619371296447
EXP-H108,EXP-H061,FS_HIC_HSP_BM_R5_PROMOTED,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R5p0,3,0.4598795530531142,0.45333870315551755,0.45660912810431586,0.4598795530531142,0.4514800829475308,0.4265870743739752,0.4390335786607531
EXP-H109,EXP-H061,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R5p0,38,0.46009102512877664,0.4542262043423123,0.4571586147355445,0.46009102512877664,0.399742896562741,0.4028054687123239,0.4012741826375325
EXP-H110,EXP-H061,FS_HIC_HSP_FP_R5_PROMOTED,HSP_FP_MINMAX_SIDECHAIN_SASA_ABS_CLOSEST_SC_R5p0,3,0.4593489172664689,0.470324082315704,0.46483649979108643,0.470324082315704,0.4081838636987003,0.4260147132402586,0.4170992884694794
EXP-H111,EXP-H061,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,HSP_FP_MINMAX_SIDECHAIN_SASA_ABS_CLOSEST_SC_R5p0,38,0.46361771694230436,0.5009940052267946,0.4823058610845495,0.5009940052267946,0.399186679981373,0.4140169319812162,0.4066018059812946
EXP-H112,EXP-H061,FS_HIC_HSP_EIS_R8_PROMOTED,HSP_EIS_RAW_SIDECHAIN_SASA_ABS_CENTROID_R8p0,3,0.48463433169141235,0.47481536431960114,0.47972484800550674,0.48463433169141235,0.4619587820547599,0.4375726433271242,0.449765712690942
EXP-H113,EXP-H061,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,HSP_EIS_RAW_SIDECHAIN_SASA_ABS_CENTROID_R8p0,38,0.46183285621360487,0.49336962994234057,0.4776012430779727,0.49336962994234057,0.3903584432719666,0.4049454879760742,0.3976519656240205
