number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,4.3059480781479715,2026-08-29 11:45:30.137812,2026-08-29 11:45:31.473532,0 days 00:00:01.335720,0.015356276428860957,0.47703059704769485,COMPLETE
1,4.005818784796167,2026-08-29 11:45:31.616360,2026-08-29 11:45:32.617821,0 days 00:00:01.001461,0.07033816206703083,0.31251031407556684,COMPLETE
2,4.2697853741566805,2026-08-29 11:45:32.762632,2026-08-29 11:45:34.693143,0 days 00:00:01.930511,0.0018903011131883457,0.29923990279642393,COMPLETE
3,4.178792393808404,2026-08-29 11:45:34.852664,2026-08-29 11:45:37.007632,0 days 00:00:02.154968,0.0015579673525976125,0.16977474074398702,COMPLETE
4,4.474476922471073,2026-08-29 11:45:37.155094,2026-08-29 11:45:39.238209,0 days 00:00:02.083115,0.002392405669752065,0.6731804251148338,COMPLETE
5,4.367119890565875,2026-08-29 11:45:39.368081,2026-08-29 11:45:41.484844,0 days 00:00:02.116763,0.001236008503477371,0.44721989423872177,COMPLETE
6,4.469298833982865,2026-08-29 11:45:41.658697,2026-08-29 11:45:43.745292,0 days 00:00:02.086595,0.0011552754282309024,0.640633406846199,COMPLETE
7,4.473598270318078,2026-08-29 11:45:43.894024,2026-08-29 11:45:44.659913,0 days 00:00:00.765889,0.027207991200607757,0.9077012522369392,COMPLETE
8,4.383095788884196,2026-08-29 11:45:44.807658,2026-08-29 11:45:46.655091,0 days 00:00:01.847433,0.005255551041860452,0.5470870142071294,COMPLETE
9,3.4909693644261544,2026-08-29 11:45:46.797130,2026-08-29 11:45:47.387360,0 days 00:00:00.590230,9.66015059484987,0.6516286583163962,COMPLETE
10,3.4909693644261544,2026-08-29 11:45:47.588203,2026-08-29 11:45:48.189673,0 days 00:00:00.601470,9.244482649098785,0.9441004249611857,COMPLETE
11,3.4909693644261544,2026-08-29 11:45:48.445345,2026-08-29 11:45:48.869015,0 days 00:00:00.423670,9.588600807534783,0.9471374461634453,COMPLETE
12,3.4909693644261544,2026-08-29 11:45:49.013445,2026-08-29 11:45:49.460032,0 days 00:00:00.446587,9.241904303551086,0.7923781410905507,COMPLETE
13,3.2866280126720606,2026-08-29 11:45:49.625619,2026-08-29 11:45:50.166279,0 days 00:00:00.540660,1.0459008057575037,0.7699760682023744,COMPLETE
14,3.290264503169659,2026-08-29 11:45:50.618186,2026-08-29 11:45:51.223516,0 days 00:00:00.605330,0.7523699465321194,0.7632383918888802,COMPLETE
15,3.29887495240482,2026-08-29 11:45:51.339994,2026-08-29 11:45:51.781130,0 days 00:00:00.441136,0.6779786766642018,0.7683365767864893,COMPLETE
16,3.3136066096696766,2026-08-29 11:45:51.918833,2026-08-29 11:45:52.527785,0 days 00:00:00.608952,0.5767814652097264,0.7955764745706441,COMPLETE
17,3.29685727524345,2026-08-29 11:45:53.011695,2026-08-29 11:45:53.474238,0 days 00:00:00.462543,0.6600828882105046,0.7346885400348458,COMPLETE
18,3.9773593166779135,2026-08-29 11:45:53.645356,2026-08-29 11:45:56.136241,0 days 00:00:02.490885,0.18615385851255603,0.051149243714389114,COMPLETE
19,4.388573597358078,2026-08-29 11:45:56.458218,2026-08-29 11:45:58.427007,0 days 00:00:01.968789,0.000226467426155091,0.8613476900003553,COMPLETE
20,3.2979536489022547,2026-08-29 11:45:58.570765,2026-08-29 11:45:59.120694,0 days 00:00:00.549929,1.654504498584101,0.5729619226479492,COMPLETE
21,3.422618788205307,2026-08-29 11:45:59.472202,2026-08-29 11:45:59.863469,0 days 00:00:00.391267,2.112050383710358,0.7221625138628155,COMPLETE
22,3.6384964813831324,2026-08-29 11:45:59.984810,2026-08-29 11:46:00.434776,0 days 00:00:00.449966,0.2277757579730716,0.8313670491120417,COMPLETE
23,3.405763682827254,2026-08-29 11:46:00.608194,2026-08-29 11:46:01.224580,0 days 00:00:00.616386,1.9273400164965064,0.7240756124372295,COMPLETE
24,3.673281477877157,2026-08-29 11:46:01.720995,2026-08-29 11:46:02.277512,0 days 00:00:00.556517,0.24122110403671132,0.596127129383163,COMPLETE
25,3.2988880197865047,2026-08-29 11:46:02.423417,2026-08-29 11:46:03.010928,0 days 00:00:00.587511,0.6339559791892657,0.7170532255423419,COMPLETE
26,4.1857964524049365,2026-08-29 11:46:03.191436,2026-08-29 11:46:03.810973,0 days 00:00:00.619537,0.07529069328433645,0.8504803645735971,COMPLETE
27,3.435883561714894,2026-08-29 11:46:03.937485,2026-08-29 11:46:04.317994,0 days 00:00:00.380509,3.163741872825839,0.49285102396144453,COMPLETE
28,3.2829170647363193,2026-08-29 11:46:04.438901,2026-08-29 11:46:04.912472,0 days 00:00:00.473571,0.9109973850625771,0.7527914355592664,COMPLETE
29,4.022309991670668,2026-08-29 11:46:05.140457,2026-08-29 11:46:05.958026,0 days 00:00:00.817569,0.07411348665129261,0.404190903261494,COMPLETE
30,4.502840810322439,2026-08-29 11:46:06.164242,2026-08-29 11:46:07.218609,0 days 00:00:01.054367,0.019350113276379904,0.867676091981696,COMPLETE
31,3.279292643548645,2026-08-29 11:46:07.365336,2026-08-29 11:46:07.828098,0 days 00:00:00.462762,0.8668076013485078,0.7384174587249337,COMPLETE
32,3.4909693644261544,2026-08-29 11:46:08.022552,2026-08-29 11:46:08.613326,0 days 00:00:00.590774,3.3383955595664623,0.6624617469737575,COMPLETE
33,3.3135477143890113,2026-08-29 11:46:08.780864,2026-08-29 11:46:09.353194,0 days 00:00:00.572330,1.1876941469348155,0.7885101078461063,COMPLETE
34,3.6307901090425414,2026-08-29 11:46:09.526541,2026-08-29 11:46:10.113130,0 days 00:00:00.586589,0.26020887634780765,0.6240027733993646,COMPLETE
35,3.4909693644261544,2026-08-29 11:46:10.238964,2026-08-29 11:46:10.751541,0 days 00:00:00.512577,3.4886217381920877,0.6870679896467773,COMPLETE
36,3.98997207390765,2026-08-29 11:46:10.885058,2026-08-29 11:46:11.366120,0 days 00:00:00.481062,0.11162496342593942,0.7503686717126807,COMPLETE
37,3.4353969700335956,2026-08-29 11:46:11.831947,2026-08-29 11:46:12.212584,0 days 00:00:00.380637,0.41494641214122,0.5384189527065948,COMPLETE
38,3.3305041427398394,2026-08-29 11:46:12.332226,2026-08-29 11:46:12.795063,0 days 00:00:00.462837,1.1989107698961181,0.8276342328320957,COMPLETE
39,3.4909693644261544,2026-08-29 11:46:13.026076,2026-08-29 11:46:13.735829,0 days 00:00:00.709753,4.383697928909911,0.8928798142785298,COMPLETE
