number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,0.7573371855780523,2026-08-29 10:45:51.100470,2026-08-29 10:45:51.479605,0 days 00:00:00.379135,0.015356276428860957,0.47703059704769485,COMPLETE
1,0.5594708272117722,2026-08-29 10:45:51.611843,2026-08-29 10:45:52.029323,0 days 00:00:00.417480,0.07033816206703083,0.31251031407556684,COMPLETE
2,1.2484545551675972,2026-08-29 10:45:52.202633,2026-08-29 10:45:52.892571,0 days 00:00:00.689938,0.0018903011131883457,0.29923990279642393,COMPLETE
3,1.2951932025295985,2026-08-29 10:45:53.026152,2026-08-29 10:45:53.626185,0 days 00:00:00.600033,0.0015579673525976125,0.16977474074398702,COMPLETE
4,1.1263648693245167,2026-08-29 10:45:53.760882,2026-08-29 10:45:54.355237,0 days 00:00:00.594355,0.002392405669752065,0.6731804251148338,COMPLETE
5,1.288178312763409,2026-08-29 10:45:54.640108,2026-08-29 10:45:55.231039,0 days 00:00:00.590931,0.001236008503477371,0.44721989423872177,COMPLETE
6,1.2876798375629666,2026-08-29 10:45:55.376343,2026-08-29 10:45:56.081989,0 days 00:00:00.705646,0.0011552754282309024,0.640633406846199,COMPLETE
7,0.5532434798701898,2026-08-29 10:45:56.299825,2026-08-29 10:45:56.741947,0 days 00:00:00.442122,0.027207991200607757,0.9077012522369392,COMPLETE
8,0.9661993463748328,2026-08-29 10:45:56.901051,2026-08-29 10:45:57.442253,0 days 00:00:00.541202,0.005255551041860452,0.5470870142071294,COMPLETE
9,0.582286236854138,2026-08-29 10:45:57.624744,2026-08-29 10:45:58.296085,0 days 00:00:00.671341,9.66015059484987,0.6516286583163962,COMPLETE
10,1.4626640499121972,2026-08-29 10:45:58.637822,2026-08-29 10:45:59.205650,0 days 00:00:00.567828,0.00011379144124068072,0.9449294503785259,COMPLETE
11,0.49074499268906885,2026-08-29 10:45:59.339246,2026-08-29 10:45:59.710351,0 days 00:00:00.371105,0.1430917665483502,0.9460660781344538,COMPLETE
12,0.5071537428887297,2026-08-29 10:45:59.918365,2026-08-29 10:46:00.456411,0 days 00:00:00.538046,0.19265693908027023,0.9296049649421092,COMPLETE
13,0.5461272168665056,2026-08-29 10:46:00.653285,2026-08-29 10:46:01.414268,0 days 00:00:00.760983,0.37249902758526676,0.8168411703040104,COMPLETE
14,0.5750410929448384,2026-08-29 10:46:01.555511,2026-08-29 10:46:02.070726,0 days 00:00:00.515215,0.5227915207355215,0.7817734070314595,COMPLETE
15,0.5559041177038139,2026-08-29 10:46:02.279598,2026-08-29 10:46:02.828071,0 days 00:00:00.548473,0.41754282338934534,0.8104402258038066,COMPLETE
16,0.582286236854138,2026-08-29 10:46:03.325239,2026-08-29 10:46:03.884891,0 days 00:00:00.559652,2.602224422761467,0.9393204878641556,COMPLETE
17,0.49296925075461706,2026-08-29 10:46:04.038609,2026-08-29 10:46:04.709867,0 days 00:00:00.671258,0.11065634004628752,0.7563687039658389,COMPLETE
18,0.582286236854138,2026-08-29 10:46:04.884017,2026-08-29 10:46:05.499373,0 days 00:00:00.615356,1.7299083499189654,0.7381950663246936,COMPLETE
19,0.4969907881049161,2026-08-29 10:46:05.874869,2026-08-29 10:46:06.235122,0 days 00:00:00.360253,0.08607135086360652,0.848298673744487,COMPLETE
20,0.6265412281630395,2026-08-29 10:46:06.409427,2026-08-29 10:46:06.896447,0 days 00:00:00.487020,0.02244124018609888,0.73493983761616,COMPLETE
21,0.49076671662299304,2026-08-29 10:46:07.067057,2026-08-29 10:46:07.694762,0 days 00:00:00.627705,0.11116086903964865,0.8445700438268652,COMPLETE
22,0.49448217785947196,2026-08-29 10:46:08.124457,2026-08-29 10:46:08.629501,0 days 00:00:00.505044,0.09383880769282724,0.8574917903487556,COMPLETE
23,0.582286236854138,2026-08-29 10:46:08.825793,2026-08-29 10:46:09.329968,0 days 00:00:00.504175,1.449243153340667,0.5748906986394721,COMPLETE
24,0.5244772696046547,2026-08-29 10:46:09.538775,2026-08-29 10:46:10.345018,0 days 00:00:00.806243,0.04491673016080596,0.7231039380298582,COMPLETE
25,0.8419042374010567,2026-08-29 10:46:10.506729,2026-08-29 10:46:10.958042,0 days 00:00:00.451313,0.006488163000565269,0.8386559972921586,COMPLETE
26,0.5906448384056028,2026-08-29 10:46:11.299546,2026-08-29 10:46:11.938179,0 days 00:00:00.638633,0.1787025999169714,0.06685993655995781,COMPLETE
27,0.582286236854138,2026-08-29 10:46:12.131826,2026-08-29 10:46:12.757947,0 days 00:00:00.626121,0.8152266119190703,0.8839945768724141,COMPLETE
28,0.49248103233304735,2026-08-29 10:46:12.889598,2026-08-29 10:46:13.316667,0 days 00:00:00.427069,0.17610770745253804,0.7768782942347162,COMPLETE
29,0.7650052516389293,2026-08-29 10:46:13.446872,2026-08-29 10:46:13.937519,0 days 00:00:00.490647,0.012565432616520747,0.5845340331093295,COMPLETE
30,0.582286236854138,2026-08-29 10:46:14.103852,2026-08-29 10:46:14.641230,0 days 00:00:00.537378,4.483996301358032,0.6881992703807531,COMPLETE
31,0.49024894101328975,2026-08-29 10:46:14.938913,2026-08-29 10:46:15.376859,0 days 00:00:00.437946,0.16817073581020478,0.7719562175768202,COMPLETE
32,0.511894991375179,2026-08-29 10:46:15.584855,2026-08-29 10:46:16.089191,0 days 00:00:00.504336,0.23612899123859926,0.7910570615794822,COMPLETE
33,0.5331981334352923,2026-08-29 10:46:16.364246,2026-08-29 10:46:16.927071,0 days 00:00:00.562825,0.032979671634154994,0.87880780247859,COMPLETE
34,0.5643846949839547,2026-08-29 10:46:17.087558,2026-08-29 10:46:17.891879,0 days 00:00:00.804321,0.8091209918185865,0.43295620297457166,COMPLETE
35,0.511507429319214,2026-08-29 10:46:18.023231,2026-08-29 10:46:18.395195,0 days 00:00:00.371964,0.05730854223058528,0.7900120559288475,COMPLETE
36,0.489942171894588,2026-08-29 10:46:18.524512,2026-08-29 10:46:19.018149,0 days 00:00:00.493637,0.1358023854492335,0.7044679075496391,COMPLETE
37,0.8151767592005736,2026-08-29 10:46:19.215103,2026-08-29 10:46:19.765413,0 days 00:00:00.550310,0.013930152822340898,0.3717811480397972,COMPLETE
38,0.5139913553691385,2026-08-29 10:46:20.083283,2026-08-29 10:46:20.588686,0 days 00:00:00.505403,0.06583615860303554,0.620966176930564,COMPLETE
39,0.5122341089313124,2026-08-29 10:46:20.740141,2026-08-29 10:46:21.300246,0 days 00:00:00.560105,0.26562223999579804,0.696705778138156,COMPLETE
