number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,0.6591329736747905,2026-08-29 10:43:13.410412,2026-08-29 10:43:14.179115,0 days 00:00:00.768703,0.015356276428860957,0.47703059704769485,COMPLETE
1,0.5804719450217419,2026-08-29 10:43:14.432716,2026-08-29 10:43:14.889942,0 days 00:00:00.457226,0.07033816206703083,0.31251031407556684,COMPLETE
2,0.6898297378000992,2026-08-29 10:43:15.001519,2026-08-29 10:43:16.674710,0 days 00:00:01.673191,0.0018903011131883457,0.29923990279642393,COMPLETE
3,0.6716750696105976,2026-08-29 10:43:16.780988,2026-08-29 10:43:19.009343,0 days 00:00:02.228355,0.0015579673525976125,0.16977474074398702,COMPLETE
4,0.7148187781017157,2026-08-29 10:43:19.227486,2026-08-29 10:43:20.153479,0 days 00:00:00.925993,0.002392405669752065,0.6731804251148338,COMPLETE
5,0.7014446677455727,2026-08-29 10:43:20.295528,2026-08-29 10:43:21.639515,0 days 00:00:01.343987,0.001236008503477371,0.44721989423872177,COMPLETE
6,0.7170899426508464,2026-08-29 10:43:21.786116,2026-08-29 10:43:22.922032,0 days 00:00:01.135916,0.0011552754282309024,0.640633406846199,COMPLETE
7,0.5889845916501781,2026-08-29 10:43:23.110027,2026-08-29 10:43:23.664836,0 days 00:00:00.554809,0.027207991200607757,0.9077012522369392,COMPLETE
8,0.6935019703624171,2026-08-29 10:43:23.922417,2026-08-29 10:43:24.696253,0 days 00:00:00.773836,0.005255551041860452,0.5470870142071294,COMPLETE
9,0.582286236854138,2026-08-29 10:43:24.936086,2026-08-29 10:43:25.326523,0 days 00:00:00.390437,9.66015059484987,0.6516286583163962,COMPLETE
10,0.5194026987005055,2026-08-29 10:43:25.448674,2026-08-29 10:43:25.852497,0 days 00:00:00.403823,0.35318696217292,0.09786136091569234,COMPLETE
11,0.5696316742105685,2026-08-29 10:43:25.994503,2026-08-29 10:43:26.753910,0 days 00:00:00.759407,0.2072340588459964,0.05276572150780934,COMPLETE
12,0.5218069902971904,2026-08-29 10:43:26.874264,2026-08-29 10:43:27.334246,0 days 00:00:00.459982,0.4707916026506774,0.05513493897288897,COMPLETE
13,0.4987163139520158,2026-08-29 10:43:27.452839,2026-08-29 10:43:28.100048,0 days 00:00:00.647209,1.0459008057575037,0.05668396601493687,COMPLETE
14,0.582286236854138,2026-08-29 10:43:28.299200,2026-08-29 10:43:29.133745,0 days 00:00:00.834545,2.8259746554337912,0.20549256638972396,COMPLETE
15,0.6817110081124901,2026-08-29 10:43:29.335943,2026-08-29 10:43:31.617256,0 days 00:00:02.281313,0.00018205342484662744,0.17497734171727558,COMPLETE
16,0.5304017301108584,2026-08-29 10:43:31.748007,2026-08-29 10:43:32.097838,0 days 00:00:00.349831,0.5830272902306267,0.2997112634153929,COMPLETE
17,0.5493240019439881,2026-08-29 10:43:32.215963,2026-08-29 10:43:32.732156,0 days 00:00:00.516193,1.5646008685727695,0.1320265009156003,COMPLETE
18,0.5538128266570879,2026-08-29 10:43:32.862624,2026-08-29 10:43:33.356472,0 days 00:00:00.493848,0.12138333555804671,0.2406940777379931,COMPLETE
19,0.582286236854138,2026-08-29 10:43:33.741653,2026-08-29 10:43:34.176320,0 days 00:00:00.434667,4.270045301161949,0.37618035400424993,COMPLETE
20,0.4990909034685223,2026-08-29 10:43:34.298755,2026-08-29 10:43:35.006834,0 days 00:00:00.708079,0.9256251518238947,0.09163106212584174,COMPLETE
21,0.5078875561981141,2026-08-29 10:43:35.222558,2026-08-29 10:43:35.973265,0 days 00:00:00.750707,1.0831028885799656,0.10578142479301106,COMPLETE
22,0.5333656205632505,2026-08-29 10:43:36.101755,2026-08-29 10:43:36.662388,0 days 00:00:00.560633,1.205852347490444,0.14224016851535093,COMPLETE
23,0.582286236854138,2026-08-29 10:43:36.826323,2026-08-29 10:43:37.260835,0 days 00:00:00.434512,8.71747996552601,0.2248527326067421,COMPLETE
24,0.5070336540662673,2026-08-29 10:43:37.439019,2026-08-29 10:43:38.000464,0 days 00:00:00.561445,1.1458520253291544,0.09643701918623265,COMPLETE
25,0.5374886733136147,2026-08-29 10:43:38.240651,2026-08-29 10:43:38.700522,0 days 00:00:00.459871,3.0457325836987765,0.052540299789234815,COMPLETE
26,0.605337632866287,2026-08-29 10:43:38.819549,2026-08-29 10:43:39.319981,0 days 00:00:00.500432,0.05534504579822005,0.25533638211778253,COMPLETE
27,0.5269794850110773,2026-08-29 10:43:39.487616,2026-08-29 10:43:40.123076,0 days 00:00:00.635460,0.24059476146873118,0.14737464459798397,COMPLETE
28,0.582286236854138,2026-08-29 10:43:40.233888,2026-08-29 10:43:40.657370,0 days 00:00:00.423482,0.6696416180552532,0.8946305903988625,COMPLETE
29,0.582286236854138,2026-08-29 10:43:40.824216,2026-08-29 10:43:41.547199,0 days 00:00:00.722983,1.988186254059938,0.37895234770322167,COMPLETE
30,0.5720076040635576,2026-08-29 10:43:41.715470,2026-08-29 10:43:42.236461,0 days 00:00:00.520991,0.13547662823886655,0.1128764259328404,COMPLETE
31,0.5016615137889747,2026-08-29 10:43:42.606120,2026-08-29 10:43:43.257896,0 days 00:00:00.651776,0.9808563097420603,0.09735715922696696,COMPLETE
32,0.582286236854138,2026-08-29 10:43:43.419061,2026-08-29 10:43:44.032122,0 days 00:00:00.613061,4.816201213383455,0.19044205964632077,COMPLETE
33,0.49838906110833325,2026-08-29 10:43:44.209702,2026-08-29 10:43:44.762726,0 days 00:00:00.553024,0.870097750607851,0.08931257322400252,COMPLETE
34,0.6280599358398552,2026-08-29 10:43:44.921991,2026-08-29 10:43:46.359850,0 days 00:00:01.437859,0.04752571923918152,0.05250307061862616,COMPLETE
35,0.538466348146874,2026-08-29 10:43:46.479042,2026-08-29 10:43:46.838893,0 days 00:00:00.359851,0.5732663801579978,0.3361909277783015,COMPLETE
36,0.5458415136287322,2026-08-29 10:43:46.947126,2026-08-29 10:43:47.382819,0 days 00:00:00.435693,0.12864579260926237,0.2537582794059402,COMPLETE
37,,2026-08-29 10:43:47.561115,,,,,RUNNING
38,0.5114039438624053,2026-08-29 10:43:52.013181,2026-08-29 10:43:52.468662,0 days 00:00:00.455481,0.28186937124988715,0.17426074166588507,COMPLETE
39,0.49763219339845843,2026-08-29 10:43:52.587231,2026-08-29 10:43:53.031111,0 days 00:00:00.443880,0.699231185138894,0.09605822597844578,COMPLETE
