feature,family,chain_scope,description,aggregation,units,qc_dependency,notes,target_used
VH_ca_rmsd_median,NEW_PAIRWISE,VH,Median pairwise CA-RMSD across physical frames (ensemble diversity),Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_ca_rmsd_median,NEW_PAIRWISE,VL,Median pairwise CA-RMSD across physical frames (ensemble diversity),Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_ca_rmsd_median,NEW_PAIRWISE,combined_VH_VL,Median pairwise CA-RMSD across physical frames (ensemble diversity),"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_ca_rmsd_median,NEW_PAIRWISE,combined_VH_VL,Median pairwise CA-RMSD across physical frames (ensemble diversity),"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_ca_rmsd_median,NEW_PAIRWISE,combined_VH_VL,Median pairwise CA-RMSD across physical frames (ensemble diversity),abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_ca_rmsd_q90,NEW_PAIRWISE,VH,90th percentile pairwise CA-RMSD across physical frames,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_ca_rmsd_q90,NEW_PAIRWISE,VL,90th percentile pairwise CA-RMSD across physical frames,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_ca_rmsd_q90,NEW_PAIRWISE,combined_VH_VL,90th percentile pairwise CA-RMSD across physical frames,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_ca_rmsd_q90,NEW_PAIRWISE,combined_VH_VL,90th percentile pairwise CA-RMSD across physical frames,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_ca_rmsd_q90,NEW_PAIRWISE,combined_VH_VL,90th percentile pairwise CA-RMSD across physical frames,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_ca_rmsf_mean,NEW_FLEX,VH,Mean per-residue CA-RMSF over the ensemble,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_ca_rmsf_mean,NEW_FLEX,VL,Mean per-residue CA-RMSF over the ensemble,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_ca_rmsf_mean,NEW_FLEX,combined_VH_VL,Mean per-residue CA-RMSF over the ensemble,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_ca_rmsf_mean,NEW_FLEX,combined_VH_VL,Mean per-residue CA-RMSF over the ensemble,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_ca_rmsf_mean,NEW_FLEX,combined_VH_VL,Mean per-residue CA-RMSF over the ensemble,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_ca_rmsf_q90,NEW_FLEX,VH,90th percentile of per-residue CA-RMSF,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_ca_rmsf_q90,NEW_FLEX,VL,90th percentile of per-residue CA-RMSF,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_ca_rmsf_q90,NEW_FLEX,combined_VH_VL,90th percentile of per-residue CA-RMSF,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_ca_rmsf_q90,NEW_FLEX,combined_VH_VL,90th percentile of per-residue CA-RMSF,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_ca_rmsf_q90,NEW_FLEX,combined_VH_VL,90th percentile of per-residue CA-RMSF,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_rg_mean,NEW_SHAPE,VH,Mean radius of gyration over physical frames,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
