experiment_id,target,plm,chain_representation,pooling,pca_dim,model,hyperparameters,n_features_before_pca,n_features_after_pca,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_stage1_primary,delta_vs_stage1_shadow,status,notes,pearson,spearman,hic_tail_mae,fold_maes,classical_family,delta_vs_plm_only_primary
HIC__esm2__HL__PCA16__SVR,HIC,esm2,HL,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,16,0.5882483812574363,0.03409946670017908,,0.11504838125743627,,FIXED_SCREEN,fixed pipeline,0.21236902695275336,0.25263747708685624,,,,
HIC__esm2__HL__PCA32__Ridge,HIC,esm2,HL,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",2560,32,0.5389501743880185,0.11455160670096622,,0.0657501743880185,,FIXED_SCREEN,fixed pipeline,0.39382902406978637,0.435871380290894,,,,
HIC__esm2__HL__PCA32__SVR,HIC,esm2,HL,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,32,0.5953164485550613,0.03579767754822801,,0.12211644855506126,,FIXED_SCREEN,fixed pipeline,0.16061757947043398,0.11065759451514759,,,,
HIC__esm2__HL__PCA64__Ridge,HIC,esm2,HL,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",2560,64,0.5672536067139019,0.09376691274478162,,0.0940536067139019,,FIXED_SCREEN,fixed pipeline,0.445966480226572,0.49013248454099756,,,,
HIC__esm2__HL__PCA64__SVR,HIC,esm2,HL,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,64,0.5980731186207707,0.03753047222571345,,0.12487311862077072,,FIXED_SCREEN,fixed pipeline,0.1762470121576538,0.04397656298177748,,,,
HIC__ablang2__H__PCA16__Ridge,HIC,ablang2,H,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",480,16,0.5563637408892314,0.07049927269744782,,0.08316374088923134,,FIXED_SCREEN,fixed pipeline,0.31390656389423766,0.3110112811700972,,,,
HIC__ablang2__H__PCA16__SVR,HIC,ablang2,H,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,16,0.6022079013603221,0.023282685531071438,,0.12900790136032209,,FIXED_SCREEN,fixed pipeline,0.019947655877322442,0.07915041844275228,,,,
HIC__ablang2__H__PCA32__Ridge,HIC,ablang2,H,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",480,32,0.5489024374586163,0.06917667347427214,,0.07570243745861632,,FIXED_SCREEN,fixed pipeline,0.3717739439071413,0.4132275381073467,,,,
HIC__ablang2__H__PCA32__SVR,HIC,ablang2,H,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,32,0.6000241859040008,0.047701336843706595,,0.12682418590400074,,FIXED_SCREEN,fixed pipeline,0.045589696080865445,0.10144424361922408,,,,
HIC__ablang2__H__PCA64__Ridge,HIC,ablang2,H,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",480,64,0.5864789426630193,0.09086812261233833,,0.11327894266301924,,FIXED_SCREEN,fixed pipeline,0.36919794066641964,0.3846785702882994,,,,
HIC__ablang2__H__PCA64__SVR,HIC,ablang2,H,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,64,0.5932103611496216,0.04386470348923906,,0.12001036114962155,,FIXED_SCREEN,fixed pipeline,0.09165596310389515,0.1378827076864657,,,,
HIC__ablang2__L__PCA16__Ridge,HIC,ablang2,L,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",480,16,0.6080046026374355,0.04939012856535019,,0.1348046026374355,,FIXED_SCREEN,fixed pipeline,0.13652802556375965,0.0802428102309638,,,,
HIC__ablang2__L__PCA16__SVR,HIC,ablang2,L,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,16,0.6261035693113248,0.024168607909339973,,0.15290356931132482,,FIXED_SCREEN,fixed pipeline,0.033202099004747965,-0.09091974030566684,,,,
HIC__ablang2__L__PCA32__Ridge,HIC,ablang2,L,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",480,32,0.6408397940505633,0.06922918427277658,,0.16763979405056334,,FIXED_SCREEN,fixed pipeline,0.10769995298243842,0.03976221427555964,,,,
HIC__ablang2__L__PCA32__SVR,HIC,ablang2,L,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,32,0.6088515418424805,0.03842863270025153,,0.13565154184248046,,FIXED_SCREEN,fixed pipeline,0.045817905932626066,-0.06627600256153071,,,,
HIC__ablang2__L__PCA64__Ridge,HIC,ablang2,L,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",480,64,0.7185203171614444,0.04858954093848999,,0.24532031716144437,,FIXED_SCREEN,fixed pipeline,0.015930199845178024,-0.0005800685076937143,,,,
HIC__ablang2__L__PCA64__SVR,HIC,ablang2,L,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,64,0.5994033923889626,0.041192300359382227,,0.12620339238896255,,FIXED_SCREEN,fixed pipeline,0.08443243322545545,-0.050264135846724914,,,,
HIC__ablang2__HL__PCA16__Ridge,HIC,ablang2,HL,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",960,16,0.5692813203464855,0.07127214841041445,,0.09608132034648548,,FIXED_SCREEN,fixed pipeline,0.23689619806845721,0.2651407055775098,,,,
HIC__ablang2__HL__PCA16__SVR,HIC,ablang2,HL,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",960,16,0.5765645592028923,0.045115873126603145,,0.10336455920289228,,FIXED_SCREEN,fixed pipeline,0.23847575617199804,0.026191998456885517,,,,
HIC__ablang2__HL__PCA32__Ridge,HIC,ablang2,HL,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",960,32,0.599689188857512,0.08127304086592209,,0.12648918885751198,,FIXED_SCREEN,fixed pipeline,0.22060038368568322,0.22271949113529577,,,,
HIC__ablang2__HL__PCA32__SVR,HIC,ablang2,HL,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",960,32,0.5799585658211287,0.04973895935041543,,0.10675856582112869,,FIXED_SCREEN,fixed pipeline,0.26739236344172657,0.05724612832254196,,,,
HIC__ablang2__HL__PCA64__Ridge,HIC,ablang2,HL,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",960,64,0.5934008148366756,0.0766490389915906,,0.1202008148366756,,FIXED_SCREEN,fixed pipeline,0.32627209699463067,0.3651086677878589,,,,
HIC__ablang2__HL__PCA64__SVR,HIC,ablang2,HL,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",960,64,0.5897988864077307,0.0437736685716182,,0.1165988864077307,,FIXED_SCREEN,fixed pipeline,0.28693537264697944,0.07679344908059048,,,,
HIC__ablang2__HL_paired__PCA16__Ridge,HIC,ablang2,HL_paired,paired_seqcoding,16,Ridge,"{""alpha"": 10.0}",480,16,0.5733467854817709,0.05352780500735105,,0.10014678548177086,,FIXED_SCREEN,fixed pipeline,0.18502489063632527,0.25190639317691627,,,,
HIC__ablang2__HL_paired__PCA16__SVR,HIC,ablang2,HL_paired,paired_seqcoding,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,16,0.6155959080065105,0.0655366329814475,,0.14239590800651053,,FIXED_SCREEN,fixed pipeline,0.05335849813137497,0.08432446016831227,,,,
HIC__ablang2__HL_paired__PCA32__Ridge,HIC,ablang2,HL_paired,paired_seqcoding,32,Ridge,"{""alpha"": 10.0}",480,32,0.5721966043486739,0.04467040709335251,,0.09899660434867391,,FIXED_SCREEN,fixed pipeline,0.29844665955578176,0.39018569271414094,,,,
HIC__ablang2__HL_paired__PCA32__SVR,HIC,ablang2,HL_paired,paired_seqcoding,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,32,0.5893972938885278,0.06569138175989069,,0.11619729388852779,,FIXED_SCREEN,fixed pipeline,0.1430860080030475,0.12014333767867424,,,,
TmApp__esm1b__HL__RidgeOpt,TmApp,esm1b,HL,whole_chain_mean,8,RidgeOpt,"{""alpha"": 78.35145884661983}",2560,8,3.1253767736030347,0.37225228363466784,,0.024276773603034485,,PLM_TUNED,optuna trials=40,0.4514231057217343,0.41696849626988136,,"[3.217801094055176, 2.9969996828021426, 3.463914813417377, 3.4035472869873047, 2.544620990753174]",,
TmApp__esm1b__HL__SVROpt,TmApp,esm1b,HL,whole_chain_mean,64,SVROpt,"{""C"": 21.220770010348136, ""gamma"": 0.0008508096324565765, ""epsilon"": 0.4350131522394387}",2560,64,3.1046355030102233,0.3440967544137401,3.15430317664819,0.0035355030102230955,-0.017296823351810264,PLM_NO_GAIN,optuna trials=40,0.4222713083623522,0.44528576729969765,,"[3.0493567386758, 2.8107234496119866, 3.625165757387057, 3.24093416270265, 2.796997406673623]",,
TmApp__esm2__HL__RidgeOpt,TmApp,esm2,HL,whole_chain_mean,64,RidgeOpt,"{""alpha"": 99.05167042022696}",2560,64,3.128343524354877,0.26590399303445406,,0.027243524354876758,,PLM_TUNED,optuna trials=40,0.5100089124093512,0.4615534363199194,,"[3.1003270149230957, 2.9179356892903647, 3.5550426136363638, 2.8964245319366455, 3.171987771987915]",,
TmApp__esm2__HL__SVROpt,TmApp,esm2,HL,whole_chain_mean,64,SVROpt,"{""C"": 7.126170285105969, ""gamma"": 0.0007378062450910772, ""epsilon"": 0.0038194000669936347}",2560,64,3.1152064258388745,0.2714287741911881,,0.014106425838874337,,PLM_TUNED,optuna trials=40,0.4395208054526483,0.39064159912418206,,"[3.049026937772578, 2.7015086150766754, 3.3780274745232104, 3.338923749776808, 3.1085453520450996]",,
TmApp__ablang2__HL__RidgeOpt,TmApp,ablang2,HL,whole_chain_mean,48,RidgeOpt,"{""alpha"": 78.35145884661983}",960,48,2.9375619787158387,0.45619439907478937,3.030556011199951,-0.1635380212841615,-0.1410439888000492,PLM_SHADOW_CONFIRMED,optuna trials=40,0.5716919576440198,0.49831672967275636,,"[2.360092878341675, 2.8972091674804688, 3.5953003854462593, 3.096402406692505, 2.738805055618286]",,
TmApp__ablang2__HL__SVROpt,TmApp,ablang2,HL,whole_chain_mean,64,SVROpt,"{""C"": 48.419878595137966, ""gamma"": 0.0007039527574318555, ""epsilon"": 0.8133189653785818}",960,64,3.0299355571414073,0.40940705641551633,3.0312157903749197,-0.07116444285859291,-0.14038420962508047,PLM_SHADOW_CONFIRMED,optuna trials=40,0.5265114508083196,0.49432326837367974,,"[2.7727582970706837, 3.1169318255495417, 3.6272266870241547, 3.089125633391437, 2.5436353426712173]",,
TmApp__ablang2__HL_paired__RidgeOpt,TmApp,ablang2,HL_paired,paired_seqcoding,64,RidgeOpt,"{""alpha"": 62.86446310310918}",480,64,2.9660590569178265,0.3586520557572974,3.0616805170521593,-0.13504094308217374,-0.10991948294784093,PLM_SHADOW_CONFIRMED,optuna trials=40,0.5279146596097409,0.5339682953841455,,"[2.441807508468628, 3.0982316913026753, 3.394128741640033, 3.086491584777832, 2.8096357583999634]",,
TmApp__ablang2__HL_paired__SVROpt,TmApp,ablang2,HL_paired,paired_seqcoding,64,SVROpt,"{""C"": 35.22757272190403, ""gamma"": 0.00044491199832021267, ""epsilon"": 0.01730967717646307}",480,64,2.9231061794448765,0.32816208017391524,3.036110096605598,-0.1779938205551237,-0.13548990339440214,PLM_SHADOW_CONFIRMED,optuna trials=40,0.5416006157383566,0.5394026235120365,,"[2.590936438013336, 3.2736704185723324, 3.11254664822698, 3.083805402708624, 2.554571989703109]",,
HIC__esm1b__HL__RidgeOpt,HIC,esm1b,HL,whole_chain_mean,48,RidgeOpt,"{""alpha"": 99.40199457198445}",2560,48,0.5748952660603956,0.12189525078483372,,0.10169526606039564,,PLM_TUNED,optuna trials=40,0.34653932347642646,0.4110596908377177,1.6171601517621206,"[0.4619568204879759, 0.6382719019109553, 0.7513045439286666, 0.4696579887866973, 0.5532850751876831]",,
HIC__esm1b__HL__SVROpt,HIC,esm1b,HL,whole_chain_mean,48,SVROpt,"{""C"": 0.25814986094028247, ""gamma"": 0.0002963884160399713, ""epsilon"": 0.0377652660307815}",2560,48,0.5004181585146535,0.044642300267398044,,0.027218158514653534,,PLM_TUNED,optuna trials=40,0.2886185727579218,0.31885137985680906,2.09496900207117,"[0.4435266899126106, 0.5499641669488308, 0.5373251579976279, 0.47012570250413155, 0.501149075210067]",,
HIC__esm1b__H__RidgeOpt,HIC,esm1b,H,whole_chain_mean,64,RidgeOpt,"{""alpha"": 96.3975790315954}",1280,64,0.5414602649977713,0.1029750548393476,,0.06826026499777132,,PLM_TUNED,optuna trials=40,0.46942537919293054,0.5369740750564396,1.4017943783928364,"[0.4673384046554565, 0.5032549373742305, 0.7228066348451556, 0.49711652827262875, 0.5167848198413849]",,
HIC__esm1b__H__SVROpt,HIC,esm1b,H,whole_chain_mean,48,SVROpt,"{""C"": 0.6660406832851166, ""gamma"": 0.0007535488042221058, ""epsilon"": 0.0075201171627259965}",1280,48,0.46374597031857123,0.04412941374919933,0.45328874749829906,-0.009454029681428777,-0.025511252501700943,PLM_SHADOW_CONFIRMED,optuna trials=40,0.4862774076169362,0.5397629202418478,1.859108845836902,"[0.4064987590041752, 0.502820377701186, 0.5123816684143215, 0.43967871466773256, 0.45735033180544055]",,
HIC__esm2__HL__RidgeOpt,HIC,esm2,HL,whole_chain_mean,48,RidgeOpt,"{""alpha"": 99.38746842972687}",2560,48,0.5286150971528255,0.08694477582482381,,0.0554150971528255,,PLM_TUNED,optuna trials=40,0.46301607984655574,0.48960040223588674,1.5112094596414003,"[0.4150652611255645, 0.561988796349728, 0.6479138049501361, 0.4842270352840423, 0.533880588054657]",,
HIC__esm2__HL__SVROpt,HIC,esm2,HL,whole_chain_mean,64,SVROpt,"{""C"": 0.3710522931465723, ""gamma"": 0.00011204911787227147, ""epsilon"": 0.0029058967355431375}",2560,64,0.4848895512628239,0.04074596028454369,0.483994646656366,0.011689551262823894,0.0051946466563659865,PLM_NO_GAIN,optuna trials=40,0.42482517921116286,0.40317019458952336,2.0859023017310556,"[0.44199069649538447, 0.5402188919704397, 0.5099949201185656, 0.45189953380172393, 0.48034371392800557]",,
HIC__esm2__H__RidgeOpt,HIC,esm2,H,whole_chain_mean,32,RidgeOpt,"{""alpha"": 97.87582138054128}",1280,32,0.5035006131027684,0.10629041903057922,,0.03030061310276838,,PLM_TUNED,optuna trials=40,0.5125174015201682,0.5552582295994373,1.4856099799661073,"[0.34180932593345636, 0.5261278291182085, 0.5843192175662879, 0.46083673405647274, 0.6044099588394165]",,
HIC__esm2__H__SVROpt,HIC,esm2,H,whole_chain_mean,48,SVROpt,"{""C"": 0.7581105308624507, ""gamma"": 0.0007535488042221058, ""epsilon"": 0.006901875186793278}",1280,48,0.45516197068169906,0.022324014168623257,0.4529083325338824,-0.018038029318300952,-0.025891667466117596,PLM_SHADOW_CONFIRMED,optuna trials=40,0.5266286896337177,0.5356544544854089,1.8362301341188787,"[0.4203560783186728, 0.4676695693168957, 0.4753459889734594, 0.44582856960509165, 0.4666096471943758]",,
HIC__ablang2__HL__RidgeOpt,HIC,ablang2,HL,whole_chain_mean,16,RidgeOpt,"{""alpha"": 99.22875689925537}",960,16,0.5677931529377446,0.07067620647872287,,0.09459315293774456,,PLM_TUNED,optuna trials=40,0.2362355796455389,0.26572641952080156,1.8226511616426353,"[0.571871146440506, 0.600178404374556, 0.6665954474246861, 0.49861221766471864, 0.501708548784256]",,
HIC__ablang2__HL__SVROpt,HIC,ablang2,HL,whole_chain_mean,64,SVROpt,"{""C"": 0.23795221163877261, ""gamma"": 0.0014742753159914669, ""epsilon"": 0.01256277350380703}",960,64,0.5104674088914682,0.03100440117626839,,0.037267408891468234,,PLM_TUNED,optuna trials=40,0.19816575317770163,0.16716134805655355,2.1631151757705007,"[0.4749982407168184, 0.5352380498088218, 0.5352902561169868, 0.47833013101058425, 0.5284803668041298]",,
HIC__ablang2__H__RidgeOpt,HIC,ablang2,H,whole_chain_mean,32,RidgeOpt,"{""alpha"": 97.87582138054128}",480,32,0.5374952451359142,0.07306167861520779,,0.06429524513591417,,PLM_TUNED,optuna trials=40,0.3709868423694903,0.4006904370031052,1.7091908452651077,"[0.48122604727745044, 0.6334653581561464, 0.5914470237963128, 0.46169181799888614, 0.5196459784507752]",,
HIC__ablang2__H__SVROpt,HIC,ablang2,H,whole_chain_mean,64,SVROpt,"{""C"": 0.8993486746072866, ""gamma"": 0.0009080666409233951, ""epsilon"": 0.009334441275701138}",480,64,0.4808183260794923,0.044194852071616525,0.4786919800083716,0.00761832607949231,-0.00010801999162840525,PLM_NO_GAIN,optuna trials=40,0.3540126909704563,0.3626924213519182,2.066490269639265,"[0.4409022734348106, 0.533842070603157, 0.523015238403875, 0.44616416623406374, 0.4601678817215553]",,
HIC__ablang2__HL_paired__RidgeOpt,HIC,ablang2,HL_paired,paired_seqcoding,64,RidgeOpt,"{""alpha"": 99.05167042022696}",480,64,0.5391859213395552,0.05903273064778847,,0.06598592133955522,,PLM_TUNED,optuna trials=40,0.38290608471746196,0.4554328146379376,1.6794993734920725,"[0.4746393225193023, 0.5782714829878373, 0.5633453910134056, 0.47794574618339547, 0.6017276639938355]",,
HIC__ablang2__HL_paired__SVROpt,HIC,ablang2,HL_paired,paired_seqcoding,64,SVROpt,"{""C"": 1.327514171339085, ""gamma"": 0.0008770651555516544, ""epsilon"": 0.0011449406756340469}",480,64,0.4863491730438868,0.053326553032199596,0.46967979101699503,0.013149173043886797,-0.009120208983004974,PLM_NO_GAIN,optuna trials=40,0.3768170438795016,0.365853865286794,2.008518783880322,"[0.43299718600746234, 0.5394856732238504, 0.48188800406145915, 0.4354234170161419, 0.5419515849105202]",,
TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt,TmApp,ablang2,HL_paired,whole_chain_mean,48,FUSION_SVROpt,"{""C"": 18.189956991772025, ""gamma"": 0.0002907403114744388, ""epsilon"": 0.3568072708595925}",480,126,2.7755534883042445,0.20827899658405438,2.8315941278702987,-0.32554651169575566,-0.34000587212970146,PLM_SHADOW_CONFIRMED,fusion with SEQ_BASIC; base_plm=TmApp__ablang2__HL_paired__SVROpt,,,,,SEQ_BASIC,-0.14755269114063196
TmApp__FUSION__ablang2__HL_paired__ANN_CDR_LENGTH__SVROpt,TmApp,ablang2,HL_paired,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 46.545524700149606, ""gamma"": 0.000266010808405419, ""epsilon"": 0.00667665363620439}",480,73,2.8749596892133256,0.29443883518730035,2.873986726410604,-0.22614031078667463,-0.29761327358939615,PLM_SHADOW_CONFIRMED,fusion with ANN_CDR_LENGTH; base_plm=TmApp__ablang2__HL_paired__SVROpt,,,,,ANN_CDR_LENGTH,-0.04814649023155093
TmApp__FUSION__ablang2__HL_paired__ANN_GERMLINE__SVROpt,TmApp,ablang2,HL_paired,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 44.39877065627469, ""gamma"": 0.00029604366092326155, ""epsilon"": 0.0011479892226426813}",480,102,2.8982770018821973,0.3328628167708258,2.9619950047824757,-0.2028229981178029,-0.20960499521752451,PLM_SHADOW_CONFIRMED,fusion with ANN_GERMLINE; base_plm=TmApp__ablang2__HL_paired__SVROpt,,,,,ANN_GERMLINE,-0.024829177562679217
TmApp__FUSION__esm1b__HL__SEQ_BASIC__SVROpt,TmApp,esm1b,HL,whole_chain_mean,8,FUSION_SVROpt,"{""C"": 15.969350542498272, ""gamma"": 0.00034560466774114504, ""epsilon"": 0.389943553671291}",2560,86,3.114580366591671,0.28469462368650816,3.1558578847110312,0.013480366591670734,-0.01574211528896896,PLM_NO_GAIN,fusion with SEQ_BASIC; base_plm=TmApp__esm1b__HL__SVROpt,,,,,SEQ_BASIC,0.009944863581447638
TmApp__FUSION__esm1b__HL__ANN_CDR_LENGTH__SVROpt,TmApp,esm1b,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 11.390669788719109, ""gamma"": 0.0008928694233568539, ""epsilon"": 0.5013401083614103}",2560,73,3.114129872570955,0.3224307727807185,3.1527773352781425,0.013029872570955003,-0.018822664721857674,PLM_NO_GAIN,fusion with ANN_CDR_LENGTH; base_plm=TmApp__esm1b__HL__SVROpt,,,,,ANN_CDR_LENGTH,0.009494369560731908
TmApp__FUSION__esm1b__HL__ANN_GERMLINE__SVROpt,TmApp,esm1b,HL,whole_chain_mean,8,FUSION_SVROpt,"{""C"": 15.969350542498272, ""gamma"": 0.00034560466774114504, ""epsilon"": 0.389943553671291}",2560,46,3.1045159334446395,0.32756754868929805,3.1782616083085946,0.0034159334446393075,0.006661608308594413,PLM_NO_GAIN,fusion with ANN_GERMLINE; base_plm=TmApp__esm1b__HL__SVROpt,,,,,ANN_GERMLINE,-0.00011956956558378806
TmApp__FUSION__esm2__HL__SEQ_BASIC__SVROpt,TmApp,esm2,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 12.779197833674479, ""gamma"": 0.00028381397829538643, ""epsilon"": 0.0011554221780153888}",2560,142,3.126486638489611,0.3401694713397665,3.1555269602404663,0.025386638489610647,-0.01607303975953389,PLM_NO_GAIN,fusion with SEQ_BASIC; base_plm=TmApp__esm2__HL__SVROpt,,,,,SEQ_BASIC,0.01128021265073631
TmApp__FUSION__esm2__HL__ANN_CDR_LENGTH__SVROpt,TmApp,esm2,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 10.656881444561979, ""gamma"": 0.0003626293774249186, ""epsilon"": 0.008025137001823902}",2560,73,3.1280184592096787,0.32286800581093966,3.1413085283496307,0.026918459209678502,-0.030291471650369495,PLM_NO_GAIN,fusion with ANN_CDR_LENGTH; base_plm=TmApp__esm2__HL__SVROpt,,,,,ANN_CDR_LENGTH,0.012812033370804166
TmApp__FUSION__esm2__HL__ANN_GERMLINE__SVROpt,TmApp,esm2,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 10.656881444561979, ""gamma"": 0.0003626293774249186, ""epsilon"": 0.008025137001823902}",2560,102,3.1257526001716447,0.3345742712211509,3.1353997929798996,0.0246526001716445,-0.03620020702010063,PLM_NO_GAIN,fusion with ANN_GERMLINE; base_plm=TmApp__esm2__HL__SVROpt,,,,,ANN_GERMLINE,0.010546174332770164
HIC__FUSION__esm2__H__SEQ_ALL__SVROpt,HIC,esm2,H,whole_chain_mean,8,FUSION_SVROpt,"{""C"": 2.7132375976290684, ""gamma"": 0.00021035972553881986, ""epsilon"": 0.0634962699970796}",1280,123,0.44845173423800827,0.03954785975893708,0.4509899411146513,-0.02474826576199174,-0.02781005888534871,PLM_SHADOW_CONFIRMED,fusion with SEQ_ALL; base_plm=HIC__esm2__H__SVROpt,,,,,SEQ_ALL,-0.006710236443690787
HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt,HIC,esm2,H,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 2.6655121952884224, ""gamma"": 0.00010177064690523097, ""epsilon"": 0.0010170893312632897}",1280,320,0.4526882865669716,0.04495817728582034,0.4598995633134333,-0.020511713433028433,-0.018900436686566713,PLM_SHADOW_CONFIRMED,fusion with SEQ_PLUS_ANTIBODY; base_plm=HIC__esm2__H__SVROpt,,,,,SEQ_PLUS_ANTIBODY,-0.0024736841147274813
HIC__FUSION__esm2__H__SEQ_BASIC__SVROpt,HIC,esm2,H,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 0.9198865870534925, ""gamma"": 0.000367534889058166, ""epsilon"": 0.001081113153223683}",1280,142,0.45526825615961597,0.03129185241087071,0.4530560468439779,-0.01793174384038404,-0.025743953156022126,PLM_SHADOW_CONFIRMED,fusion with SEQ_BASIC; base_plm=HIC__esm2__H__SVROpt,,,,,SEQ_BASIC,0.00010628547791691201
HIC__FUSION__esm1b__H__SEQ_ALL__SVROpt,HIC,esm1b,H,whole_chain_mean,48,FUSION_SVROpt,"{""C"": 0.6660406832851166, ""gamma"": 0.0007535488042221058, ""epsilon"": 0.0075201171627259965}",1280,163,0.46233395581615966,0.04165069012382913,0.45062390993657797,-0.010866044183840351,-0.028176090063422032,PLM_SHADOW_CONFIRMED,fusion with SEQ_ALL; base_plm=HIC__esm1b__H__SVROpt,,,,,SEQ_ALL,-0.0014120145024115738
HIC__FUSION__esm1b__H__SEQ_PLUS_ANTIBODY__SVROpt,HIC,esm1b,H,whole_chain_mean,48,FUSION_SVROpt,"{""C"": 0.6660406832851166, ""gamma"": 0.0007535488042221058, ""epsilon"": 0.0075201171627259965}",1280,304,0.46183407383215663,0.04064612785954971,0.4533239271558271,-0.011365926167843377,-0.025476072844172915,PLM_SHADOW_CONFIRMED,fusion with SEQ_PLUS_ANTIBODY; base_plm=HIC__esm1b__H__SVROpt,,,,,SEQ_PLUS_ANTIBODY,-0.0019118964864145993
HIC__FUSION__esm1b__H__SEQ_BASIC__SVROpt,HIC,esm1b,H,whole_chain_mean,48,FUSION_SVROpt,"{""C"": 0.6660406832851166, ""gamma"": 0.0007535488042221058, ""epsilon"": 0.0075201171627259965}",1280,126,0.46281319232129225,0.04312427444558101,0.45153787180996724,-0.010386807678707755,-0.027262128190032764,PLM_SHADOW_CONFIRMED,fusion with SEQ_BASIC; base_plm=HIC__esm1b__H__SVROpt,,,,,SEQ_BASIC,-0.0009327779972789774
HIC__FUSION__ablang2__H__SEQ_ALL__SVROpt,HIC,ablang2,H,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 0.8993486746072866, ""gamma"": 0.0009080666409233951, ""epsilon"": 0.009334441275701138}",480,179,0.47982775605513756,0.03678450423344087,0.4790684687205296,0.006627756055137546,0.00026846872052960213,PLM_NO_GAIN,fusion with SEQ_ALL; base_plm=HIC__ablang2__H__SVROpt,,,,,SEQ_ALL,-0.0009905700243547644
HIC__FUSION__ablang2__H__SEQ_PLUS_ANTIBODY__SVROpt,HIC,ablang2,H,whole_chain_mean,48,FUSION_SVROpt,"{""C"": 1.905788640910648, ""gamma"": 0.00041003845015017017, ""epsilon"": 0.0069111830248350745}",480,304,0.47580307223439416,0.029518835777775712,0.4849342684001613,0.002603072234394155,0.006134268400161291,PLM_NO_GAIN,fusion with SEQ_PLUS_ANTIBODY; base_plm=HIC__ablang2__H__SVROpt,,,,,SEQ_PLUS_ANTIBODY,-0.005015253845098155
HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt,HIC,ablang2,H,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 0.8993486746072866, ""gamma"": 0.0009080666409233951, ""epsilon"": 0.009334441275701138}",480,142,0.4765349541326728,0.039196353969271805,0.4745234156056878,0.0033349541326727627,-0.004276584394312222,PLM_NO_GAIN,fusion with SEQ_BASIC; base_plm=HIC__ablang2__H__SVROpt,,,,,SEQ_BASIC,-0.0042833719468195475
