target,family,source,feature_path,dimension,molecular_scope,previous_evaluation_type,simple_tvt_already_run,simple_tvt_result_if_any,available_N,base_key,notes,label
TmApp,BIOEMU_V12,foundation_stability_v2,/workspace_developability_acquisition/organizer_extension/feature_prospecting/foundation_stability_v2/BIOEMU_V12_FEATURES.csv,26,VH+VL isolated,standalone/residual/OOF,True,PΔ=-0.0547/SΔ=-0.0430/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN prior; RESCREEN_COMPLETE,
TmApp,BIOEMU_NEW_CONTACT,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,20,VH+VL isolated,standalone/residual/OOF,True,PΔ=+0.0140/SΔ=+0.0281/DIRECT_WEAK_CANDIDATE;fixed=True,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,BIOEMU_NEW_PAIRWISE,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,10,VH+VL isolated,standalone/residual/OOF,True,PΔ=+0.0344/SΔ=+0.0329/DIRECT_STRONG_CANDIDATE;fixed=True,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,BIOEMU_NEW_FLEX,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,25,VH+VL isolated,standalone/residual/OOF,True,PΔ=+0.0271/SΔ=+0.0150/DIRECT_WEAK_CANDIDATE;fixed=True,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,BIOEMU_NEW_SHAPE,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,10,VH+VL isolated,standalone/residual/OOF,True,PΔ=-0.0197/SΔ=+0.0231/DIRECT_MIXED;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,BIOEMU_NEW_COMBINED,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,65,VH+VL isolated,standalone/residual/OOF,True,PΔ=+0.0041/SΔ=+0.0645/DIRECT_WEAK_CANDIDATE;fixed=True,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,BIOEMU_NEW_CONTACT,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,20,VH+VL isolated,exploratory,True,PΔ=+0.0127/SΔ=-0.0030/DIRECT_MIXED;fixed=False,324,HIC_BASE_ARO,EXPLORATORY_HIC_BIOEMU; RESCREEN_COMPLETE,EXPLORATORY_HIC_BIOEMU
HIC,BIOEMU_NEW_PAIRWISE,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,10,VH+VL isolated,exploratory,True,PΔ=-0.0014/SΔ=-0.0099/DIRECT_NO_IMPROVEMENT;fixed=False,324,HIC_BASE_ARO,EXPLORATORY_HIC_BIOEMU; RESCREEN_COMPLETE,EXPLORATORY_HIC_BIOEMU
HIC,BIOEMU_NEW_COMBINED,bioemu_isolated_reassessment,/workspace_developability_acquisition/organizer_extension/feature_prospecting/bioemu_isolated_reassessment/BIOEMU_ISOLATED_REASSESS_FEATURES.csv,65,VH+VL isolated,exploratory,True,PΔ=+0.0139/SΔ=-0.0079/DIRECT_MIXED;fixed=False,324,HIC_BASE_ARO,EXPLORATORY_HIC_BIOEMU; RESCREEN_COMPLETE,EXPLORATORY_HIC_BIOEMU
TmApp,FENNIX_V2_CURVATURE,foundation_stability_v2,/workspace_developability_acquisition/organizer_extension/feature_prospecting/foundation_stability_v2/FENNIX_V2_CURVATURE_FEATURES.csv,30,Fv,standalone/residual/OOF,True,PΔ=-0.0775/SΔ=-0.1188/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,esmfold SUCCESS only; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
