id,sequence,label,elisa_flags,source
abituzumab,YTS,0.0,0,jain2017_pnas
abrilumab,GAS,0.0,0,jain2017_pnas
adalimumab,AAS,0.0,0,jain2017_pnas
alemtuzumab,NTN,0.0,0,jain2017_pnas
alirocumab,WAS,0.0,0,jain2017_pnas
anifrolumab,GAS,0.0,0,jain2017_pnas
atezolizumab,SAS,0.0,0,jain2017_pnas
bapineuzumab,LVS,0.0,0,jain2017_pnas
basiliximab,DTS,0.0,0,jain2017_pnas
bavituximab,ATS,0.0,0,jain2017_pnas
belimumab,GKN,1.0,6,jain2017_pnas
benralizumab,HTS,0.0,0,jain2017_pnas
bevacizumab,FTS,0.0,0,jain2017_pnas
bimagrumab,GVS,0.0,0,jain2017_pnas
blosozumab,WAS,1.0,6,jain2017_pnas
bococizumab,SAS,1.0,6,jain2017_pnas
brentuximab,AAS,,3,jain2017_pnas
briakinumab,YND,1.0,4,jain2017_pnas
brodalumab,DAS,,1,jain2017_pnas
canakinumab,YAS,0.0,0,jain2017_pnas
carlumab,DAS,1.0,4,jain2017_pnas
certolizumab,SAS,0.0,0,jain2017_pnas
cetuximab,YAS,0.0,0,jain2017_pnas
cixutumumab,GEN,1.0,6,jain2017_pnas
clazakizumab,RAS,0.0,0,jain2017_pnas
codrituzumab,KVS,1.0,6,jain2017_pnas
crenezumab,KVS,0.0,0,jain2017_pnas
dacetuzumab,TVS,0.0,0,jain2017_pnas
daclizumab,TTS,,1,jain2017_pnas
dalotuzumab,KVS,1.0,5,jain2017_pnas
daratumumab,DAS,0.0,0,jain2017_pnas
denosumab,GAS,1.0,5,jain2017_pnas
dinutuximab,KVS,0.0,0,jain2017_pnas
drozitumab,GAN,0.0,0,jain2017_pnas
duligotuzumab,SAS,1.0,6,jain2017_pnas
dupilumab,LGS,1.0,5,jain2017_pnas
eculizumab,GAT,0.0,0,jain2017_pnas
efalizumab,SGS,0.0,0,jain2017_pnas
eldelumab,GAS,0.0,0,jain2017_pnas
elotuzumab,WAS,0.0,0,jain2017_pnas
emibetuzumab,STS,1.0,6,jain2017_pnas
enokizumab,GTS,0.0,0,jain2017_pnas
epratuzumab,WAS,,1,jain2017_pnas
etrolizumab,YAS,,2,jain2017_pnas
evolocumab,EVS,,2,jain2017_pnas
farletuzumab,GTS,0.0,0,jain2017_pnas
fasinumab,AAF,0.0,0,jain2017_pnas
fezakinumab,GDS,0.0,0,jain2017_pnas
ficlatuzumab,GAS,0.0,0,jain2017_pnas
figitumumab,AAS,,3,jain2017_pnas
fletikumab,DAS,0.0,0,jain2017_pnas
foralumab,DAS,,2,jain2017_pnas
fresolimumab,GAS,0.0,0,jain2017_pnas
fulranumab,DAS,,1,jain2017_pnas
galiximab,DIN,0.0,0,jain2017_pnas
ganitumab,LGS,0.0,0,jain2017_pnas
gantenerumab,GAS,1.0,6,jain2017_pnas
gemtuzumab,AAS,0.0,0,jain2017_pnas
gevokizumab,YTS,0.0,0,jain2017_pnas
girentuximab,SAS,0.0,0,jain2017_pnas
glembatumumab,GAS,0.0,0,jain2017_pnas
golimumab,DAS,,1,jain2017_pnas
guselkumab,GNS,,1,jain2017_pnas
