id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,69.0,75.29665486005591,-6.296654860055909,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-38499,0,65.5,65.27636172406206,0.22363827593794383,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-38501,4,64.5,72.24490446317698,-7.7449044631769794,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-38502,4,66.0,73.32170583865478,-7.321705838654779,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45379,1,66.0,65.42993225036021,0.5700677496397901,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45388,0,72.5,69.62704886368022,2.8729511363197844,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45389,0,67.5,70.10071314731611,-2.600713147316114,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45390,3,73.0,66.61630117487863,6.383698825121371,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45391,0,68.5,69.65195393310638,-1.151953933106384,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45402,3,68.5,73.08128647647388,-4.581286476473878,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45406,1,69.5,70.43281894475172,-0.9328189447517161,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45408,2,75.0,75.67958021486652,-0.6795802148665189,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45422,3,72.0,71.05755480507338,0.9424451949266199,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45425,0,74.0,71.20020067963715,2.799799320362851,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45430,0,80.0,81.01673991346694,-1.0167399134669353,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
ADI-45435,1,76.5,76.35908929735879,0.1409107026412073,TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt
