id,prediction
ADI-37123,71.02837443531615
ADI-38499,61.957508028291805
ADI-38501,68.47700383303467
ADI-38502,72.51695923940156
ADI-45379,66.66948493232317
ADI-45388,70.2665397984947
ADI-45389,69.47549334595618
ADI-45390,69.56495694286477
ADI-45391,69.87434812969938
ADI-45402,71.47566950397996
ADI-45406,71.2040560378062
ADI-45408,75.6574513540031
ADI-45422,67.21642172989107
ADI-45425,73.93588609158303
ADI-45430,76.37100810399852
ADI-45435,73.47866394001603
ADI-45439,68.42018747931995
ADI-45440,67.89221391886089
ADI-45450,67.92790700557732
ADI-45451,70.14732798849579
ADI-45453,64.29215757027892
ADI-45454,64.55869512536567
ADI-45455,66.20207791579402
ADI-45461,73.3405633915543
ADI-45463,66.55682573567441
ADI-45464,68.72515183399554
ADI-45465,72.2360036494477
ADI-45479,71.370954313327
ADI-45480,74.81742458385041
ADI-45488,67.35392198228402
ADI-45490,68.4585331568126
ADI-45491,72.30563093786604
ADI-45493,74.96448310721208
ADI-45495,74.7924947225056
ADI-45497,74.02629365432938
ADI-45499,69.75795064440712
ADI-46677,67.440849418518
ADI-46682,68.45884005011251
ADI-46684,70.53890738242677
ADI-46685,65.93983673915643
ADI-46690,72.67817029108424
ADI-46695,70.87852820071373
ADI-46697,69.07270834167467
ADI-46704,68.21785979419306
ADI-46705,71.07075085317297
ADI-46708,75.89720237423964
ADI-46710,74.99736875442828
ADI-47054,69.27762009183247
ADI-47060,67.34602169793787
ADI-47061,67.41769881446214
ADI-47063,67.63582644909711
ADI-47064,64.29146399745017
ADI-47065,69.53042559598404
ADI-47066,70.60126414395431
ADI-47068,69.20801274034507
ADI-47069,65.70005516797775
ADI-47072,68.90189667703848
ADI-47073,68.48417400426733
ADI-47074,68.71690048050391
ADI-47075,70.51734977245405
ADI-47076,70.03296330560447
ADI-47078,67.88039858629955
ADI-47079,69.95448409012674
ADI-47081,68.3738547394091
ADI-47087,69.88474979551059
ADI-47089,64.42211803516248
ADI-47091,69.85823739805127
ADI-47094,71.45297275811312
ADI-47095,70.31718974256192
ADI-47096,70.50701104669508
ADI-47097,69.77912847748802
ADI-47098,66.97230888109428
ADI-47099,70.04307244770486
ADI-47100,66.59480285969269
ADI-47102,70.24435333527666
ADI-47103,70.58888198250534
ADI-47105,69.03634969752729
ADI-47111,67.79112812964962
ADI-47114,72.47671270775948
ADI-47117,66.61932005510073
ADI-47118,69.99395814226777
ADI-47122,68.48650672475469
ADI-47123,68.39864883097837
ADI-47130,68.74022455263838
ADI-47131,72.05139217420205
ADI-47132,67.09353453866227
ADI-47134,70.73565388916403
ADI-47139,72.57545817301909
ADI-47141,71.10570528772517
ADI-47145,69.88724472190684
ADI-47146,68.8806570103019
ADI-47147,74.67641269527647
ADI-47149,71.32011007443022
ADI-47151,68.16355407288486
ADI-47153,66.06974172759413
ADI-47154,72.81611788936598
ADI-47155,68.78017358334326
ADI-47156,68.37849482599665
ADI-47158,67.7948284657537
ADI-47159,67.52514982524542
ADI-47162,70.63677119036532
ADI-47163,64.26087353660337
ADI-47165,70.07220678886392
ADI-47176,71.32009322060732
ADI-47177,68.18939570455638
ADI-47180,67.29236577506329
ADI-47181,67.11867741346076
ADI-47183,70.14883602178266
ADI-47187,69.37545463576181
ADI-47188,71.55768660584653
ADI-47189,68.65910009162181
ADI-47195,68.21275557884198
ADI-47199,70.30611018348966
ADI-47204,68.81243091603407
ADI-47207,70.66977497412154
ADI-47209,72.75798106178264
ADI-47212,69.3185504584482
ADI-47213,69.06226586365592
ADI-47215,71.29174871131727
ADI-47216,69.95527187305925
ADI-47218,72.18341718206997
ADI-47219,71.4952119517235
ADI-47223,67.80848711617418
ADI-47224,71.79242864530524
ADI-47225,70.82012053114096
ADI-47227,72.83996024925175
ADI-47228,68.40784837606665
ADI-47230,68.86146694513133
ADI-47233,70.72213373851194
ADI-47234,67.70966887607055
ADI-47236,68.03306189294996
ADI-47238,72.69862151428622
ADI-47240,72.03939220617737
ADI-47241,71.84536952709806
ADI-47244,70.66406872760614
ADI-47247,72.48207371633963
ADI-47249,67.91656854973355
ADI-47250,68.51718497019027
ADI-47252,75.34117231945464
ADI-47254,71.6950879120108
ADI-47258,69.05580439834561
ADI-47259,67.15043958660937
ADI-47260,72.67092619776564
ADI-47262,74.51897892003954
ADI-47265,65.731628132783
ADI-47267,68.74675950997843
ADI-47280,72.2015981793219
ADI-47283,71.34876870106758
ADI-47284,66.2692714749403
ADI-47285,74.16008223952775
ADI-47288,71.15433883267212
ADI-47289,69.15304244107462
ADI-47292,71.69041206404188
ADI-47297,70.71038484775319
ADI-47300,70.14353332675145
ADI-47301,69.68456417967673
ADI-47302,73.35799373594674
ADI-47308,68.18361753012937
ADI-47309,72.59693280329707
ADI-47312,70.42255542283986
ADI-47316,67.60813582400401
ADI-47317,68.91536644090067
