candidate	source_type	source_name	url	access_date	download_status	local_path	license	requires_login	requires_manual_action	notes
GDPa1	huggingface	ginkgo-datapoints/GDPa1	https://huggingface.co/datasets/ginkgo-datapoints/GDPa1	2026-08-28	GATED_METADATA_ONLY	raw/ginkgo/GDPa1_README.md	CC BY 4.0 with commercial-use restriction (LICENSE.md)	yes	yes_accept_terms_and_HF_TOKEN	Processed CSV lists 242 Abs; paper/batch 246. Full Excel has sequences+tidy replicates.
GDPa3	ginkgo_datapoints_web	GDPa3 AbDev held-out	https://datapoints.ginkgo.bio/dataset-access	2026-08-28	NOT_FOUND_ON_HF_ORG_API	raw/ginkgo/dataset_access.html	LICENSE_REVIEW_REQUIRED	likely	yes	~80 OAS IgGs; HIC/SEC/nanoDSF/titer/polyreactivity per competition paper. Not in HF org listing at audit.
eSOL	lsdb_archive	eSOL NBDC00440	https://dbarchive.biosciencedbc.jp/data/esol/LATEST/esol.zip	2026-08-28	DOWNLOADED	raw/esol/esol.zip	CC BY-SA 2.1 JP	no	no	4132 entries; 3173 with solubility. Original Niwa PNAS 2009.
eSOL	uniprot	UP000000625 reviewed proteome	https://rest.uniprot.org/uniprotkb/stream?query=(proteome:UP000000625)%20AND%20(reviewed:true)	2026-08-28	DOWNLOADED	raw/esol/uniprot_ecoli.fasta	CC BY 4.0 (UniProt)	no	no	4403 reviewed sequences + gene_oln TSV for B-number join.
DeepViscosity	github	Lailabcode/DeepViscosity	https://github.com/Lailabcode/DeepViscosity	2026-08-28	DOWNLOADED	raw/deepviscosity/DeepViscosity	MIT (code); training data proprietary AstraZeneca	no	no	Paper states DV_mAb_229 not shared. Notebook outputs leak 153 continuous viscosities without sequences.
DeepViscosity	journal	mAbs 2025 Kalejaye et al	https://doi.org/10.1080/19420862.2025.2483944	2026-08-28	HTML_403_OR_LIMITED	raw/deepviscosity/paper.html	journal copyright; data proprietary	maybe	yes	Explicitly: training/validation datasets proprietary.
Shehata2019	github_derivative	Obstacle antibody_training_pipeline_ESM shehata.csv	https://github.com/The-Obstacle-Is-The-Way/antibody_training_pipeline_ESM	2026-08-28	DOWNLOADED	raw/shehata/obstacle_shehata/shehata.csv	upstream Cell Reports; derivative MIT repo — LICENSE_REVIEW_REQUIRED for redistribution	no	no	398 paired VH/VL + PSR. Original mmc2.xlsx (with Tm/HIC) not in public git; Cell Reports not OA.
Shehata2019	huggingface	hugging-science/shehata-antibody-psr	https://huggingface.co/datasets/hugging-science/shehata-antibody-psr	2026-08-28	DOWNLOADED	raw/shehata/hf/data/test.csv	derivative; upstream CC-BY-4.0 claimed on HF card	no	no	VH-only + PSR for 398.
Jain2017	github_derivative	Obstacle jain_sd01/02/03 CSV	https://github.com/The-Obstacle-Is-The-Way/antibody_training_pipeline_ESM	2026-08-28	DOWNLOADED	raw/jain/obstacle_jain/	PNAS open access article; LICENSE_REVIEW_REQUIRED for bulk redistribution of supplements	no	no	Converted from pnas.1616408114.sd01-03.xlsx. Direct PNAS download returned 403 in this environment.
NbThermo	github	Valdes-Tresanco-MS/NbThermo database.json	https://github.com/Valdes-Tresanco-MS/NbThermo	2026-08-28	DOWNLOADED	raw/nbthermo/database.json	LICENSE_REVIEW_REQUIRED (site/database; paper OA Database journal)	no	no	548 JSON entries vs paper 564 Nbs; heterogeneous Tm methods across 62 DOIs.
Meltome	nature_supplement	Jarzab 2020 MOESM3-11	https://www.nature.com/articles/s41592-020-0801-4	2026-08-28	DOWNLOADED	raw/meltome/supplements/	Nature Terms; supplements downloadable — LICENSE_REVIEW_REQUIRED for competition redistribution	no	no	MOESM4 has Protein ID + Tm across 77 dataset sheets. Raw PRIDE PXD011929 not downloaded.
GDPa1	ginkgo_datapoints_form	Datapoints Download Data form	https://datapoints.ginkgo.bio/dataset-access	2026-08-28	FORM_REQUIRED_EMAIL	raw/ginkgo/a05/supabase_datasets.json	CC BY-NC noncommercial; CC BY commercial excl. redistribution of dataset/contents	form	yes_submit_form	A0.5: non-HF route confirmed; PUBLIC_DOWNLOAD_WITH_FORM
GDPa3	ginkgo_datapoints_form	GDPa3 Excel 113KB	https://datapoints.ginkgo.bio/dataset-access	2026-08-28	FORM_REQUIRED	raw/ginkgo/a05/supabase_datasets.json	same dual CC terms in modal	form	yes	80 OAS IgGs; five assays; OOD for GDPa1
GDPa4	ginkgo_datapoints_form	GDPa4 bispecifics	https://datapoints.ginkgo.bio/dataset-access	2026-08-28	FORM_REQUIRED	raw/ginkgo/a05/supabase_datasets.json	same	form	yes	160 bispecifics + 65 GDPa1 IgGs
GDPa5	ginkgo_datapoints_form	GDPa5 160 VHH	https://datapoints.ginkgo.bio/dataset-access	2026-08-28	FORM_REQUIRED	raw/ginkgo/a05/supabase_datasets.json	same	form	yes	160 VHH clinical+nonclinical
Shehata2019	elsevier_cdn	mmc2.xlsx Table S1	https://ars.els-cdn.com/content/image/1-s2.0-S2211124719311040-mmc2.xlsx	2026-08-28	DOWNLOADED	raw/shehata/a05/mmc2.xlsx	CC BY 4.0 (Crossref VOR)	no	no	A0.5 recovered Tm/HIC/PSR + VH/VL protein
DOTAD	uestc	DOTAD v1 experimental_data.xlsx	https://i.uestc.edu.cn/DOTAD/static/resource/data/experimental_data.xlsx	2026-08-28	DOWNLOADED	raw/dotad/v1/experimental_data.xlsx	LICENSE_REVIEW_REQUIRED	no	no	Per-paper sheets; Jain-dominated; Hebditch predicted
DOTAD	uestc	DOTAD v1 sequence.xlsx	https://i.uestc.edu.cn/DOTAD/static/resource/data/sequence.xlsx	2026-08-28	DOWNLOADED	raw/dotad/v1/sequence.xlsx	LICENSE_REVIEW_REQUIRED	no	no	963 INN; 942 paired VH/VL
