antibody_id,cluster_id,role,split
ADI-38502,0,Dev,shadow_2
ADI-38501,1,Dev,shadow_2
ADI-47173,2,Dev,shadow_2
ADI-47054,3,Dev,shadow_2
ADI-47278,4,Private,shadow_2
ADI-47055,5,Dev,shadow_2
ADI-47174,6,Public,shadow_2
ADI-47056,31,Dev,shadow_2
ADI-47279,7,Public,shadow_2
ADI-47057,8,Public,shadow_2
ADI-47280,9,Dev,shadow_2
ADI-47058,10,Dev,shadow_2
ADI-47281,11,Dev,shadow_2
ADI-47175,12,Dev,shadow_2
ADI-47282,13,Private,shadow_2
ADI-47283,14,Dev,shadow_2
ADI-47059,4,Private,shadow_2
ADI-47060,15,Dev,shadow_2
ADI-47178,16,Private,shadow_2
ADI-47177,17,Public,shadow_2
ADI-47284,18,Private,shadow_2
ADI-47179,19,Public,shadow_2
ADI-47180,20,Dev,shadow_2
ADI-45439,21,Public,shadow_2
ADI-45368,19,Public,shadow_2
ADI-47062,22,Dev,shadow_2
ADI-47182,23,Dev,shadow_2
ADI-47063,0,Dev,shadow_2
ADI-47183,24,Public,shadow_2
ADI-47064,25,Public,shadow_2
ADI-47066,26,Public,shadow_2
ADI-45379,27,Public,shadow_2
ADI-47067,7,Public,shadow_2
ADI-47068,28,Dev,shadow_2
ADI-47069,29,Dev,shadow_2
ADI-47070,30,Dev,shadow_2
ADI-45442,47,Dev,shadow_2
ADI-47184,31,Dev,shadow_2
ADI-47073,32,Dev,shadow_2
ADI-46682,33,Private,shadow_2
ADI-47074,34,Dev,shadow_2
ADI-47186,35,Public,shadow_2
ADI-45370,36,Private,shadow_2
ADI-47077,37,Dev,shadow_2
ADI-47079,38,Private,shadow_2
ADI-47289,39,Public,shadow_2
ADI-47191,40,Public,shadow_2
ADI-47192,41,Private,shadow_2
ADI-47290,36,Private,shadow_2
ADI-47195,42,Dev,shadow_2
ADI-47196,43,Dev,shadow_2
ADI-47083,44,Dev,shadow_2
ADI-47198,45,Public,shadow_2
ADI-47199,46,Public,shadow_2
ADI-47201,36,Private,shadow_2
ADI-45447,47,Dev,shadow_2
ADI-47293,47,Dev,shadow_2
ADI-45378,47,Dev,shadow_2
ADI-47204,48,Public,shadow_2
ADI-47093,49,Dev,shadow_2
ADI-47297,50,Dev,shadow_2
ADI-45440,51,Dev,shadow_2
ADI-47209,28,Dev,shadow_2
ADI-46678,31,Dev,shadow_2
ADI-47099,52,Public,shadow_2
ADI-47300,0,Dev,shadow_2
ADI-47100,53,Dev,shadow_2
ADI-47215,54,Dev,shadow_2
ADI-47216,24,Public,shadow_2
ADI-47217,55,Private,shadow_2
ADI-46710,24,Public,shadow_2
ADI-47301,42,Dev,shadow_2
ADI-47187,24,Public,shadow_2
ADI-47105,9,Dev,shadow_2
ADI-47106,56,Dev,shadow_2
ADI-45490,57,Private,shadow_2
ADI-47302,24,Public,shadow_2
ADI-47109,58,Dev,shadow_2
ADI-47304,59,Private,shadow_2
ADI-47112,60,Dev,shadow_2
ADI-47113,61,Dev,shadow_2
ADI-47224,28,Dev,shadow_2
ADI-47225,42,Dev,shadow_2
ADI-45429,4,Private,shadow_2
ADI-47119,36,Private,shadow_2
ADI-47308,24,Public,shadow_2
ADI-47121,62,Dev,shadow_2
ADI-47122,53,Dev,shadow_2
ADI-47311,7,Public,shadow_2
ADI-47123,63,Dev,shadow_2
ADI-47231,64,Private,shadow_2
ADI-47232,31,Dev,shadow_2
ADI-47258,65,Dev,shadow_2
ADI-46677,66,Dev,shadow_2
ADI-45491,28,Dev,shadow_2
ADI-47313,67,Dev,shadow_2
ADI-45373,31,Dev,shadow_2
ADI-47132,68,Dev,shadow_2
ADI-47237,69,Dev,shadow_2
ADI-47238,53,Dev,shadow_2
ADI-47135,37,Dev,shadow_2
ADI-47243,70,Private,shadow_2
ADI-45375,71,Private,shadow_2
ADI-47244,72,Public,shadow_2
ADI-47247,15,Dev,shadow_2
ADI-47140,6,Public,shadow_2
ADI-47317,42,Dev,shadow_2
ADI-45448,73,Private,shadow_2
ADI-47143,74,Dev,shadow_2
ADI-45382,75,Private,shadow_2
ADI-47253,76,Public,shadow_2
ADI-47256,77,Dev,shadow_2
ADI-47166,36,Private,shadow_2
ADI-45428,7,Public,shadow_2
ADI-47149,53,Dev,shadow_2
ADI-47151,78,Private,shadow_2
ADI-47152,43,Dev,shadow_2
ADI-47259,53,Dev,shadow_2
ADI-47260,24,Public,shadow_2
ADI-47261,12,Dev,shadow_2
ADI-47155,79,Private,shadow_2
ADI-47153,80,Public,shadow_2
ADI-47158,81,Public,shadow_2
ADI-45438,82,Public,shadow_2
ADI-47161,83,Private,shadow_2
ADI-38498,60,Dev,shadow_2
ADI-38500,84,Public,shadow_2
ADI-38499,85,Dev,shadow_2
ADI-45397,43,Dev,shadow_2
ADI-45456,86,Private,shadow_2
ADI-45455,87,Dev,shadow_2
ADI-45450,87,Dev,shadow_2
ADI-45465,88,Dev,shadow_2
ADI-45464,24,Public,shadow_2
ADI-46692,89,Private,shadow_2
ADI-45390,42,Dev,shadow_2
ADI-45395,47,Dev,shadow_2
ADI-46690,0,Dev,shadow_2
ADI-45393,47,Dev,shadow_2
ADI-46685,9,Dev,shadow_2
ADI-45460,7,Public,shadow_2
ADI-45389,90,Private,shadow_2
ADI-46689,91,Dev,shadow_2
ADI-45459,7,Public,shadow_2
ADI-45463,85,Dev,shadow_2
ADI-45470,7,Public,shadow_2
ADI-47295,92,Private,shadow_2
ADI-45452,93,Public,shadow_2
ADI-45454,28,Dev,shadow_2
ADI-45388,53,Dev,shadow_2
ADI-47205,94,Private,shadow_2
ADI-46695,95,Private,shadow_2
ADI-46684,87,Dev,shadow_2
ADI-47213,42,Dev,shadow_2
ADI-46696,96,Private,shadow_2
ADI-46697,53,Dev,shadow_2
ADI-47104,97,Dev,shadow_2
ADI-47219,28,Dev,shadow_2
ADI-45391,90,Private,shadow_2
ADI-45461,53,Dev,shadow_2
ADI-47116,47,Dev,shadow_2
ADI-47309,24,Public,shadow_2
ADI-45453,98,Private,shadow_2
ADI-46693,47,Dev,shadow_2
ADI-47233,9,Dev,shadow_2
ADI-47137,99,Dev,shadow_2
ADI-45383,75,Private,shadow_2
ADI-45469,7,Public,shadow_2
ADI-45422,87,Dev,shadow_2
ADI-45485,7,Public,shadow_2
ADI-45495,42,Dev,shadow_2
ADI-46691,31,Dev,shadow_2
ADI-45425,100,Private,shadow_2
ADI-45451,28,Dev,shadow_2
ADI-45499,87,Dev,shadow_2
ADI-45497,24,Public,shadow_2
ADI-37123,101,Private,shadow_2
ADI-37125,47,Dev,shadow_2
ADI-38503,7,Public,shadow_2
ADI-47223,102,Dev,shadow_2
ADI-37124,103,Private,shadow_2
ADI-47176,104,Dev,shadow_2
ADI-47061,105,Dev,shadow_2
ADI-45402,106,Private,shadow_2
ADI-46701,107,Dev,shadow_2
ADI-47286,108,Dev,shadow_2
ADI-47065,109,Dev,shadow_2
ADI-47287,4,Private,shadow_2
ADI-47071,110,Public,shadow_2
ADI-47072,28,Dev,shadow_2
ADI-45472,60,Dev,shadow_2
ADI-47075,28,Dev,shadow_2
ADI-47288,111,Public,shadow_2
ADI-45404,112,Dev,shadow_2
ADI-47076,24,Public,shadow_2
ADI-47189,113,Dev,shadow_2
ADI-47078,114,Private,shadow_2
ADI-47190,115,Dev,shadow_2
ADI-47081,116,Dev,shadow_2
ADI-47194,4,Private,shadow_2
ADI-47193,117,Dev,shadow_2
ADI-47291,118,Dev,shadow_2
