id,H_seq_len_fr_cdr12,L_seq_len_fr_cdr12,PL_H_CDR1_len,PL_H_CDR2_len,PL_H_CDR3_len,PL_L_CDR1_len,PL_L_CDR2_len,PL_L_CDR3_len,PL_anarci_vh_germline_distance,PL_anarci_vh_mutfrac_excl_CDR3,PL_anarci_vl_germline_distance,PL_anarci_vl_mutfrac_excl_CDR3,PL_vh_germline_distance,PL_vl_germline_distance,PL_combined_germline_distance,PL_vh_mutfrac_excl_CDR3,PL_vl_mutfrac_excl_CDR3,H_FR1_gravy,H_FR1_len,H_FR1_charge,H_CDR1_gravy,H_CDR1_len,H_CDR1_charge,H_FR2_gravy,H_FR2_len,H_FR2_charge,H_CDR2_gravy,H_CDR2_len,H_CDR2_charge,H_FR3_gravy,H_FR3_len,H_FR3_charge,H_CDR3_gravy,H_CDR3_len,H_CDR3_charge,H_FR4_gravy,H_FR4_len,H_FR4_charge,L_FR1_gravy,L_FR1_len,L_FR1_charge,L_CDR1_gravy,L_CDR1_len,L_CDR1_charge,L_FR2_gravy,L_FR2_len,L_FR2_charge,L_CDR2_gravy,L_CDR2_len,L_CDR2_charge,L_FR3_gravy,L_FR3_len,L_FR3_charge,L_CDR3_gravy,L_CDR3_len,L_CDR3_charge,L_FR4_gravy,L_FR4_len,L_FR4_charge
ADI-38502,96,88,9.0,17.0,16.0,11.0,7.0,9.0,0.0510204081632652,0.0520833333333333,0.0326086956521739,0.034090909090909,0.0510204081632652,0.0326086956521739,0.0418145519077196,0.0520833333333333,0.034090909090909,0.2846153846153846,26,0.0,0.2333333333333332,9,-1.0,-0.457142857142857,14,1.0,-0.11176470588235293,17,0.0,-0.5633333333333334,30,1.0,-1.1375,16,1.0,0.36363636363636365,11,0.0,0.37391304347826093,23,-1.0,-0.018181818181818257,11,1.0,-0.7933333333333332,15,3.0,-0.0857142857142857,7,0.0,-0.021875000000000033,32,-2.0,-1.9444444444444444,9,0.0,-0.5199999999999999,10,1.0
ADI-38501,96,88,9.0,17.0,12.0,11.0,7.0,10.0,0.010204081632653,0.0104166666666666,0.0869565217391304,0.0795454545454545,0.010204081632653,0.0869565217391304,0.0485803016858917,0.0104166666666666,0.0795454545454545,0.29999999999999993,26,-1.0,-0.04444444444444448,9,0.0,-0.457142857142857,14,1.0,-0.12941176470588228,17,0.0,-0.5633333333333334,30,1.0,-1.325,12,-0.9,-0.045454545454545456,11,0.0,0.18260869565217383,23,-1.0,-0.045454545454545435,11,1.0,-0.8066666666666668,15,2.0,-1.3428571428571427,7,0.0,0.3812499999999999,32,-3.0,-2.4199999999999995,10,3.0,-0.2899999999999999,10,1.0
ADI-47173,95,93,9.0,16.0,17.0,16.0,7.0,8.0,0.1428571428571429,0.1368421052631579,0.0824742268041237,0.086021505376344,0.1428571428571429,0.0824742268041237,0.1126656848306333,0.1368421052631579,0.086021505376344,0.17307692307692302,26,0.0,-0.6777777777777778,9,0.1,-0.0071428571428572285,14,1.0,-0.3375,16,0.09999999999999998,-0.6666666666666666,30,0.0,-0.3058823529411765,17,-0.8999999999999999,0.17272727272727273,11,0.0,0.6391304347826088,23,-1.0,-0.8812500000000001,16,0.10000000000000009,-1.2800000000000002,15,3.1,-0.7857142857142856,7,1.0,-0.19374999999999998,32,-2.0,-0.7000000000000002,8,0.1,-0.16999999999999998,10,1.0
ADI-47054,95,87,9.0,16.0,14.0,11.0,7.0,10.0,0.0618556701030927,0.0631578947368421,0.1538461538461538,0.160919540229885,0.0618556701030927,0.1538461538461538,0.1078509119746233,0.0631578947368421,0.160919540229885,0.2653846153846155,26,-2.0,-0.288888888888889,9,0.0,-0.6285714285714287,14,1.0,-0.85,16,2.0,0.14333333333333337,30,0.0,-0.7357142857142855,14,-1.0,-0.045454545454545456,11,0.0,-0.04999999999999994,22,1.0,-0.21818181818181828,11,0.0,-0.4333333333333334,15,1.0,-3.1000000000000005,7,2.0,-0.17500000000000007,32,-4.0,0.18,10,-1.0,0.85,10,0.0
ADI-47278,96,88,9.0,17.0,12.0,11.0,7.0,9.0,0.1020408163265306,0.1041666666666666,0.0434782608695651,0.034090909090909,0.1020408163265306,0.0434782608695651,0.0727595385980479,0.1041666666666666,0.034090909090909,-0.1115384615384615,26,3.0,-0.43333333333333335,9,0.1,-0.857142857142857,14,1.0,-1.3235294117647058,17,1.0,-0.56,30,0.0,-0.7916666666666666,12,-1.0,0.36363636363636365,11,0.0,0.19999999999999996,23,-1.0,-0.2727272727272727,11,1.0,-0.44000000000000006,15,2.0,-0.12857142857142856,7,1.0,0.12812499999999993,32,-2.0,-2.522222222222222,9,1.1,-0.47999999999999987,10,1.0
ADI-47055,96,88,9.0,17.0,14.0,11.0,7.0,9.0,0.1224489795918367,0.125,0.1413043478260869,0.1363636363636363,0.1224489795918367,0.1413043478260869,0.1318766637089618,0.125,0.1363636363636363,0.31538461538461526,26,1.0,0.11111111111111101,9,-1.0,-0.8428571428571429,14,1.0,-0.9411764705882353,17,1.1,-0.6466666666666667,30,1.0,-0.9214285714285715,14,1.1,0.36363636363636365,11,0.0,0.11739130434782609,23,-1.0,-0.5818181818181819,11,-0.9,-0.3333333333333332,15,1.1,-0.9714285714285715,7,0.0,-0.3,32,-3.0,-1.6777777777777778,9,-0.8,-0.47999999999999987,10,1.0
ADI-47174,96,93,9.0,17.0,13.0,16.0,7.0,9.0,0.1224489795918367,0.125,0.0824742268041237,0.086021505376344,0.1224489795918367,0.0824742268041237,0.1024616031979802,0.125,0.086021505376344,-0.030769230769230826,26,1.0,0.033333333333333263,9,0.1,-0.19285714285714275,14,2.0,-0.8176470588235293,17,1.0,-0.8099999999999999,30,-1.0,-1.2538461538461538,13,-3.0,0.36363636363636365,11,0.0,0.6391304347826088,23,-1.0,-0.4312499999999999,16,0.10000000000000009,-1.2800000000000002,15,3.1,-1.8857142857142857,7,2.0,-0.18750000000000006,32,-2.0,-0.911111111111111,9,0.1,-0.5199999999999999,10,1.0
ADI-47056,96,88,9.0,17.0,16.0,11.0,7.0,10.0,0.0714285714285714,0.0729166666666666,0.0869565217391304,0.0681818181818181,0.0714285714285714,0.0869565217391304,0.0791925465838509,0.0729166666666666,0.0681818181818181,0.3153846153846154,26,-1.0,-0.7000000000000001,9,1.0,-0.4357142857142856,14,1.0,-0.08235294117647053,17,0.0,-0.7266666666666667,30,-1.0,-0.23125000000000007,16,0.0,0.36363636363636365,11,0.0,-0.0304347826086957,23,-1.0,-0.2727272727272727,11,1.0,-0.8066666666666668,15,2.0,-0.942857142857143,7,0.0,0.2562499999999999,32,-2.0,-1.6400000000000001,10,-1.0,-0.47999999999999987,10,1.0
ADI-47279,96,90,9.0,17.0,11.0,14.0,7.0,10.0,0.0918367346938775,0.09375,0.0319148936170212,0.0333333333333333,0.0918367346938775,0.0319148936170212,0.0618758141554494,0.09375,0.0333333333333333,0.3153846153846154,26,1.0,0.24444444444444435,9,0.0,-0.5142857142857143,14,1.0,-1.1823529411764704,17,0.09999999999999998,-0.37000000000000005,30,0.0,-1.9909090909090912,11,2.0,0.5909090909090909,11,0.0,-0.3045454545454545,22,0.0,0.12857142857142861,14,-1.0,-0.8733333333333334,15,2.1,-1.5571428571428572,7,1.0,-0.54375,32,-3.0,-0.1299999999999999,10,0.0,0.85,10,1.0
ADI-47057,96,88,9.0,17.0,19.0,11.0,7.0,9.0,0.1428571428571429,0.1458333333333333,0.0978260869565217,0.0909090909090909,0.1428571428571429,0.0978260869565217,0.1203416149068323,0.1458333333333333,0.0909090909090909,0.3076923076923077,26,0.0,-0.05555555555555558,9,-2.0,-0.457142857142857,14,1.0,-1.164705882352941,17,1.0,-0.2099999999999999,30,-1.0,-0.5789473684210527,19,-2.0,-0.045454545454545456,11,0.0,0.03913043478260876,23,-1.0,-0.036363636363636376,11,1.0,-0.7933333333333332,15,3.0,-0.5857142857142856,7,1.0,-0.24375000000000002,32,-3.0,-1.4777777777777779,9,0.1,-0.47999999999999987,10,1.0
