feature_id,feature_name,feature_family,subfamily,bundle_name,stage_first_introduced,physical_quantity,biological_interpretation,dimensionality,unit,sign_meaning,structure_source,chain_scope,region_scope,exact_definition,aggregation_method,normalization,thresholds,cutoff_distance,neighborhood_radius,hydrophobicity_scale,residue_classes,weighting_method,pH,ionic_strength,other_fixed_conditions,software,software_version,library,implementation_function,source_file,source_lines_or_symbol,command_or_API,preprocessing_required,hydrogens_added,protonation_assigned,structure_relaxed,atom_completion,numbering_or_region_mapping,failure_handling,computed,saved_to_feature_table,used_in_model,target_TmApp_used,target_HIC_used,selected_in_best_model,representative_experiment_ids,artifact_path,manifest_path,code_evidence,notes,quantity_tier,also_computed_ABBodyBuilder2
ST3_ESM_Fv_total_sasa,Fv_total_sasa,SASA_RASA,SASA,STRUCT_SASA,Stage3,residue-level SASA,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,whole Fv,sum of per-residue Shrake-Rupley SASA over region,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,False,TmApp__ESMFold__STRUCT_SASA__ElasticNet;TmApp__ESMFold__STRUCT_SASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_SASA__Ridge;HIC__ESMFold__STRUCT_SASA__ElasticNet;HIC__ESMFold__STRUCT_SASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_mean_sasa,Fv_mean_sasa,SASA_RASA,SASA,STRUCT_SASA,Stage3,residue-level SASA,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,whole Fv,mean per-residue SASA over region,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,False,TmApp__ESMFold__STRUCT_SASA__ElasticNet;TmApp__ESMFold__STRUCT_SASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_SASA__Ridge;HIC__ESMFold__STRUCT_SASA__ElasticNet;HIC__ESMFold__STRUCT_SASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_mean_rasa,Fv_mean_rasa,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,whole Fv,mean(SASA/MaxASA_Tien2013) over region,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_median_rasa,Fv_median_rasa,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,whole Fv,median RASA over region,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_max_rasa,Fv_max_rasa,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,whole Fv,max RASA over region,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_frac_rasa_gt_0_20,Fv_frac_rasa_gt_0_20,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_frac_rasa_gt_0_25,Fv_frac_rasa_gt_0_25,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_frac_rasa_gt_0_50,Fv_frac_rasa_gt_0_50,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_frac_rasa_gt_1,Fv_frac_rasa_gt_1,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_Fv_n_res,Fv_n_res,GLOBAL_GEOMETRY,GLOBAL,STRUCT_GLOBAL,Stage3,structure-derived scalar aggregate,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,H+L,whole Fv,see code: STRUCT_GLOBAL,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,False,TmApp__ESMFold__STRUCT_GLOBAL__ElasticNet;TmApp__ESMFold__STRUCT_GLOBAL__Ridge;HIC__ESMFold__STRUCT_GLOBAL__ElasticNet;HIC__ESMFold__STRUCT_GLOBAL__Ridge,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
