id,role,HIC,pred_NESTED,pred_ESMFN,pred_PLM,band_NESTED,band_ESMFN,band_PLM,structure_closer,nested_under,esmfn_under,consensus_severe_failure,n_adv_pred_LOW
ADI-45438,Private,11.643,10.666361862299457,10.673374103576563,10.659765314658939,MEDIUM,MEDIUM,MEDIUM,True,0.9766381377005438,0.9696258964234374,False,1
ADI-47161,Public,11.775,10.035927702701276,10.393633319137347,9.699427281957753,LOW,LOW,LOW,True,1.7390722972987245,1.3813666808626532,True,4
ADI-45499,Train,12.216,10.10638241579397,9.888188914828953,10.420653774975799,LOW,LOW,LOW,False,2.1096175842060294,2.327811085171046,True,5
ADI-45497,Train,12.74,10.666045030909833,10.817508153640029,10.602850371674263,MEDIUM,MEDIUM,MEDIUM,True,2.073954969090167,1.9224918463599714,False,2
ADI-47160,Private,11.745,10.514948138381373,10.88599456530168,10.16589776556907,MEDIUM,MEDIUM,LOW,True,1.2300518616186267,0.8590054346983198,True,3
ADI-47265,Train,11.886,10.28038143679455,10.564436979022425,9.888013760659192,LOW,MEDIUM,LOW,True,1.60561856320545,1.3215630209775746,True,4
ADI-47163,Train,12.148,8.841907547538229,8.74293695898565,9.015278294063775,LOW,LOW,LOW,False,3.3060924524617707,3.4050630410143494,True,5
ADI-47126,Public,12.905,9.519472922421768,9.783104866731206,9.271469379549204,LOW,LOW,LOW,True,3.3855270775782316,3.1218951332687936,True,5
ADI-47162,Train,11.866,10.167664317703855,9.951133170771039,10.206027489661182,LOW,LOW,LOW,False,1.698335682296145,1.914866829228961,True,4
ADI-45435,Train,11.905,10.595360129186291,10.526824551518668,10.797684297753916,MEDIUM,MEDIUM,MEDIUM,False,1.309639870813708,1.378175448481331,False,1
ADI-45433,Private,12.08,9.912756977472352,9.434007423019306,10.363125713947072,LOW,LOW,LOW,False,2.167243022527648,2.645992576980694,True,5
ADI-45498,Private,12.449,10.401679016093363,10.415916850086909,10.388285217088923,LOW,LOW,LOW,True,2.047320983906637,2.0330831499130912,True,5
ADI-45486,Public,13.856,9.766110351412909,9.96229565488541,9.5815551358143,LOW,LOW,LOW,True,4.089889648587091,3.8937043451145907,True,5
