feature,type,smd_pub_priv,wass,ks,js_pub_priv,mean_public,mean_private
vh_len,continuous,-0.04244275914533847,0.6419753086419755,0.07407407407407407,,,
vl_len,continuous,-0.10842107093456832,0.48148148148148173,0.07407407407407396,,,
H_CDR3_len,continuous,-0.015431143315363485,0.6296296296296298,0.09876543209876543,,,
L_CDR3_len,continuous,-0.16250544671962888,0.2962962962962967,0.08641975308641969,,,
PL_combined_germline_distance,continuous,0.020674916223935535,0.0064201749610755645,0.12345679012345684,,,
PL_vh_germline_distance,continuous,0.10050660592964816,0.008747997700705942,0.09876543209876543,,,
PL_vl_germline_distance,continuous,-0.10261611820216417,0.009149109343366182,0.11111111111111105,,,
PL_anarci_vh_germline_distance,continuous,0.10050660592964816,0.008747997700705942,0.09876543209876543,,,
A2_HL_gravy,continuous,0.12828231096205803,0.013798358115020077,0.12345679012345678,,,
A2_HL_charge_ph7,continuous,-0.2674908938021324,0.7111111111111109,0.12345679012345678,,,
A2_HL_pI,continuous,-0.2649298847548714,0.34048933806242765,0.14814814814814814,,,
vh_family,categorical,,,,0.013458308976104219,,
vl_family,categorical,,,,0.10343869671362389,,
b_cell_subset,categorical,,,,0.009911997237550551,,
donor,categorical,,,,0.0,,
ORG_kappa_lambda,categorical,,,,0.0007649406647387436,,
cluster_size,continuous,-0.4882802611913813,,,,,
nearest_train_VH_identity,continuous,0.0990828724918518,,,,0.7208535183816918,0.7130761732374079
